"","stable_coef_names","poor_npl1"
"1","consumed151",12
"2","consumed271",12
"3","hh_cook1",8
"4","hh_fs11",10
"5","hh_fs60",4
"6","hh_fs61",7
"7","hh_light1",9
"8","hh_roof1",7
"9","hh_size1",18
"10","hh_size2",11
"11","hhead_maxgrade1",10
"12","region1",1
"13","region2",7
"14","region4",2
"15","region5",0
