"","hh_id","hh_weight","urban","poor_npl1","pred_score_pr_full"
"1",7020701001079,5540.35205078125,0,0,0.272982270105484
"2",3071301304078,7887.3623046875,0,0,0.237200565734731
"3",3020900708066,365.547882080078,0,0,0.237200565734731
"4",3050101504047,6536.767578125,0,0,0.114258062802975
"5",7190100701123,929.551330566406,0,0,0.537858989714304
"6",15010201401094,302.147552490234,0,0,0.120774345836593
"7",4190800704097,5205.2216796875,0,0,0.175783631466854
"8",12010200401150,719.368041992188,0,0,0.353782483299006
"9",4130600204131,7094.3955078125,0,0,0.0606939154796012
"10",15010202801082,374.075500488281,0,0,0.194742724452781
"11",4070101502432,2897.42749023438,0,0,0.260688648155158
"12",3090101202026,4374.0234375,0,0,0.0767104799804227
"13",7170200104040,1721.02453613281,1,0,0.108050153984793
"14",4140501906003,7351.91748046875,0,0,0.204787886796528
"15",1050301501503,5225.15380859375,0,0,0.194742724452781
"16",3070101406149,7945.5009765625,0,0,0.237200565734731
"17",1030300605002,2445.58471679688,0,0,0.0682681814173824
"18",4111601404134,7362.7822265625,0,0,0.0507942219820303
"19",7010502502094,4376.744140625,0,0,0.782959456629758
"20",7120101602049,596.91943359375,0,1,0.443896311786123
"21",7090200503032,3680.07641601562,0,0,0.237200565734731
"22",4171200807093,10119.947265625,0,1,0.658026779809527
"23",3051500703172,6841.4658203125,0,0,0.325600696904125
"24",4111800102123,3380.72338867188,1,0,0.325600696904125
"25",3061601207037,8455.56640625,0,0,0.237200565734731
"26",1020401702123,4059.95434570312,0,0,0.0539113803165359
"27",4040501902092,13144,0,1,0.215212716123316
"28",4031400602070,6515.91650390625,0,0,0.339549543623035
"29",4011600103156,5415.3779296875,1,1,0.0723759226566892
"30",6020100802042,2400.23022460938,0,0,0.120774345836593
"31",3020400906048,2429.03369140625,0,0,0.325600696904125
"32",7010300404089,3584.54711914062,0,1,0.537858989714304
"33",7210106202174,1436.28723144531,0,1,0.272982270105484
"34",7050201705127,4049.13940429688,0,0,0.443896311786123
"35",3120100101076,92.5693130493164,0,0,0.614429025282023
"36",4021001102094,5430.58837890625,0,1,0.397975229244604
"37",7140101303042,378.111694335938,0,0,0.226017394913385
"38",6030304202082,3318.89135742188,0,1,0.226017394913385
"39",3011001806098,7237.576171875,0,1,0.325600696904125
"40",7010502502109,4376.744140625,0,0,0.699108930149834
