"household_id","household_id2","rural","pw_w3","ea_id","ea_id2","saq01","saq02","saq03","saq04","saq05","saq06","saq07","saq08","hh_s14q00","hh_s14q02_a","hh_s14q02_b","hh_s14q03_a","hh_s14q03_b","hh_s14q04","hh_s14q05_a","hh_s14q05_b","hh_s14q05b","hh_s14q06","hh_s14q07_a","hh_s14q07_b","hh_s14q08_a","hh_s14q08_b","hh_s14q08_c"
"01021200416004","010212010100416004",3,2164.1845703125,"01021200416","010212010100416",1,2,12,1,1,4,16,4,1,"**CONFIDENTIAL**",7,1,,6,1,2008,3,2,1,2010,10000,2312,12312
"01021200416028","010212010100416028",3,2164.1845703125,"01021200416","010212010100416",1,2,12,1,1,4,16,28,1,"**CONFIDENTIAL**",10,2,,4,9,2007,8,2,9,2008,7000,0,7000
"01021200416100","010212010100416100",3,2164.1845703125,"01021200416","010212010100416",1,2,12,1,1,4,16,100,1,"**CONFIDENTIAL**",7,2,,5,2,2007,3,2,2,2010,40000,6000,46000
"01021200416124","010212010100416124",3,2164.1845703125,"01021200416","010212010100416",1,2,12,1,1,4,16,124,1,"**CONFIDENTIAL**",9,2,,5,3,2007,7,1,,,5000,260,5260
"01021200416136","010212010100416136",3,2164.1845703125,"01021200416","010212010100416",1,2,12,1,1,4,16,136,1,"**CONFIDENTIAL**",7,1,,6,12,2007,3,2,12,2008,2000,120,2120
"01030100204012","010301088800204012",1,1550.37329101563,"01030100204","010301088800204",1,3,1,8,88,2,4,12,1,"**CONFIDENTIAL**",7,1,2,2,1,2008,6,2,1,2012,5000,375,5375
"01030100204013","010301088800204013",1,5777.33447265625,"01030100204","010301088800204",1,3,1,8,88,2,4,13,1,"**CONFIDENTIAL**",9,1,,6,12,2007,7,2,11,2009,5000,600,5600
"01030100204032","010301088800204032",1,1550.37329101563,"01030100204","010301088800204",1,3,1,8,88,2,4,32,1,"**CONFIDENTIAL**",10,1,3,2,9,2007,6,2,9,2009,5000,600,5600
"01030100204091","010301088800204091",1,1550.37329101563,"01030100204","010301088800204",1,3,1,8,88,2,4,91,1,"**CONFIDENTIAL**",7,1,2,5,7,2007,6,1,,,10000,2500,12500
"01030100204129","010301088800204129",1,1550.37329101563,"01030100204","010301088800204",1,3,1,8,88,2,4,129,1,"**CONFIDENTIAL**",7,1,2,4,11,2007,7,2,11,2009,5000,560,5560
"01030300111002","010303010100111002",3,2494.61572265625,"01030300111","010303010100111",1,3,3,1,1,1,11,2,1,"**CONFIDENTIAL**",7,1,,4,9,2007,6,2,9,2010,10000,5000,15000
"01030300111016","010303010100111016",3,2494.61572265625,"01030300111","010303010100111",1,3,3,1,1,1,11,16,1,"**CONFIDENTIAL**",1,2,,2,4,2008,8,2,12,2008,2000,0,2000
"01030300111037","010303010100111037",3,2494.61572265625,"01030300111","010303010100111",1,3,3,1,1,1,11,37,1,"**CONFIDENTIAL**",7,1,,7,10,2007,3,2,10,2009,20000,3000,23000
"01030300111072","010303010100111072",3,2494.61572265625,"01030300111","010303010100111",1,3,3,1,1,1,11,72,1,"**CONFIDENTIAL**",7,2,,6,12,2007,3,2,12,2010,30000,4500,34500
"01030300605036","010303088800605036",1,1279.66650390625,"01030300605","010303088800605",1,3,3,8,88,6,5,36,1,"**CONFIDENTIAL**",7,1,7,4,10,2007,6,2,10,2009,20000,720,20720
"01030400101054","010304088800101054",1,2473.31469726563,"01030400101","010304088800101",1,3,4,8,88,1,1,54,1,"**CONFIDENTIAL**",7,1,2,7,8,2007,7,1,,,2000,0,2000
"01030400101085","010304088800101085",1,2473.31469726563,"01030400101","010304088800101",1,3,4,8,88,1,1,85,1,"**CONFIDENTIAL**",2,1,,7,4,2007,7,1,,,400,0,400
"01030400101115","010304088800101115",1,2738.3125,"01030400101","010304088800101",1,3,4,8,88,1,1,115,1,"**CONFIDENTIAL**",1,1,,7,7,2007,7,2,,,1000,0,1000
"01030400101120","010304088800101120",1,2473.31469726563,"01030400101","010304088800101",1,3,4,8,88,1,1,120,1,"**CONFIDENTIAL**",7,2,3,7,12,2007,7,2,12,2008,4000,0,4000
"01030600608021","010306088800608021",1,1562.90051269531,"01030600608","010306088800608",1,3,6,8,88,6,8,21,1,"**CONFIDENTIAL**",1,1,,7,5,2008,8,2,11,2008,1000,0,1000
"01030700116028","010307088800116028",2,2226.82373046875,"01030700116","010307088800116",1,3,7,8,88,1,16,28,1,"**CONFIDENTIAL**",7,1,,5,12,2007,3,2,12,2008,10000,2330,12330
"01030700116064","010307088800116064",2,2226.82373046875,"01030700116","010307088800116",1,3,7,8,88,1,16,64,1,"**CONFIDENTIAL**",10,5,,7,11,2007,2,1,,,2000,0,2000
"01030700116088","010307088800116088",2,2226.82373046875,"01030700116","010307088800116",1,3,7,8,88,1,16,88,1,"**CONFIDENTIAL**",1,1,,7,1,2008,3,1,,,600,0,600
"01030700116088","010307088800116088",2,2226.82373046875,"01030700116","010307088800116",1,3,7,8,88,1,16,88,2,"**CONFIDENTIAL**",1,1,,7,5,2008,3,1,,,600,0,600
"01030700116100","010307088800116100",2,2226.82373046875,"01030700116","010307088800116",1,3,7,8,88,1,16,100,1,"**CONFIDENTIAL**",7,1,2,5,1,2007,3,2,1,2009,25000,1250,26250
"01030700709043","010307088800709043",1,2441.37475585938,"01030700709","010307088800709",1,3,7,8,88,7,9,43,1,"**CONFIDENTIAL**",1,1,,3,9,2007,8,2,8,2008,600,0,600
"01030700709061","010307088800709061",1,2441.37475585938,"01030700709","010307088800709",1,3,7,8,88,7,9,61,1,"**CONFIDENTIAL**",3,1,,5,8,2007,7,1,,,6000,0,6000
"01030700709079","010307088800709079",1,2441.37475585938,"01030700709","010307088800709",1,3,7,8,88,7,9,79,1,"**CONFIDENTIAL**",2,1,2,7,5,2008,8,2,5,2008,250,0,250
"01030700709115","010307088800709115",1,2441.37475585938,"01030700709","010307088800709",1,3,7,8,88,7,9,115,1,"**CONFIDENTIAL**",1,1,,3,5,2008,8,2,7,2008,500,0,500
"01030700709133","010307088800709133",1,2441.37475585938,"01030700709","010307088800709",1,3,7,8,88,7,9,133,1,"**CONFIDENTIAL**",1,4,1,7,3,2008,6,2,3,2009,10000,2500,12500
"01030700709151","010307088800709151",1,2441.37475585938,"01030700709","010307088800709",1,3,7,8,88,7,9,151,1,"**CONFIDENTIAL**",7,1,,5,7,2007,3,1,,,10000,250,10250
"01030900101021","010309010100101021",3,1902.123046875,"01030900101","010309010100101",1,3,9,1,1,1,1,21,1,"**CONFIDENTIAL**",7,1,,5,6,2008,3,2,6,2009,10000,0,10000
"01030900101041","010309010100101041",3,1902.123046875,"01030900101","010309010100101",1,3,9,1,1,1,1,41,1,"**CONFIDENTIAL**",3,1,,6,4,2008,8,2,10,2008,1000,0,1000
