"ea_id2","ea_id","sa1q01","sa1q02","sa1q03","sa1q04","sa1q05","sa1q06","sa1q07","cs6q01","cs6q02_a","cs6q02_b","cs6q02_c","cs6q03_a","cs6q03_b","cs6q03_c","cs6q04_a","cs6q04_b","cs6q04_c","cs6q05","cs6q06","cs6q07","cs6q07_b","cs6q07_c","cs6q08","cs6q09","cs6q10","cs6q11","cs6q12","cs6q13","cs6q14","cs6q15","cs6q16_a","cs6q16_b","cs6q16_c","cs6q16_d","cs6q17_a","cs6q17_b","cs6q17_c","cs6q17_d","cs6q18_a","cs6q18_b","cs6q18_c","cs6q18_d","cs6q18_e","cs6q18_f","cs6q18_g","cs6q18_h"
"010405088800701","01040500701",1,4,5,8,88,7,1,1,8,1,15,10,11,12,3,2,1,3,3,1,,,1,,1,400,3,1,3,1,1,1,1,3,5,5,5,5,2,2,4,4,4,4,4,3
"010406088800803","01040600803",1,4,6,8,88,8,3,1,6,7,11,11,12,8,3,4,10,3,3,1,,,1,,1,1000,1,1,1,1,2,2,2,2,3,3,3,3,1,1,3,1,1,1,3,4
"010408088800402","01040800402",1,4,8,8,88,4,2,1,1,8,,10,11,,3,4,,3,3,1,,,1,,1,200,3,1,3,1,1,3,2,2,4,4,4,4,2,2,4,3,1,1,1,3
"010409010100306","01040900306",1,4,9,1,1,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"010501088800105","01050100105",1,5,1,8,88,1,5,1,6,27,9,10,11,12,2,3,4,3,3,3,,,1,,1,17,3,3,3,1,2,3,2,3,3,4,3,4,2,2,2,2,2,2,2,2
"010501020100105","01050100105",1,5,1,2,1,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"010502088800201","01050200201",1,5,2,8,88,2,1,1,,,,10,11,9,3,2,4,3,3,3,,,1,,1,126,3,3,1,1,1,1,1,1,5,5,5,5,4,4,4,3,4,2,4,4
"010502088800712","01050200712",1,5,2,8,88,7,12,1,6,3,7,9,8,11,3,2,3,3,3,1,,,1,,1,75,3,3,3,1,3,3,2,1,3,4,5,4,2,4,4,4,3,3,4,4
"010502088801503","01050201503",1,5,2,8,88,15,3,1,7,3,6,10,11,12,3,4,5,3,3,1,,,,,1,435,3,3,3,1,3,3,3,3,4,4,4,4,3,4,5,2,4,4,2,2
"010503088801501","01050301501",1,5,3,8,88,15,1,1,6,27,3,9,10,11,2,3,4,2,2,1,,,1,,1,358,3,2,1,1,3,3,3,1,4,4,4,4,4,4,4,2,4,4,3,3
"010503088802304","01050302304",1,5,3,8,88,23,4,1,6,27,3,10,10,9,4,3,3,3,3,2,,,1,,1,90,3,4,2,1,2,9,2,9,4,4,4,3,2,2,1,3,3,2,4,4
"010601010100224","01060100224",1,6,1,1,1,2,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"010601010100303","01060100303",1,6,1,1,1,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"010601010100315","01060100315",1,6,1,1,1,3,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"010601010100423","01060100423",1,6,1,1,1,4,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"010601010100532","01060100532",1,6,1,1,1,5,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"010601010103701","01060103701",1,6,1,1,1,37,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
