"ea_id2","ea_id","sa1q01","sa1q02","sa1q03","sa1q04","sa1q05","sa1q06","sa1q07","cs5q01_a","cs5q01_b","cs5q01_c","cs5q01_oth","cs5q02","cs5q03","cs5q04","cs5q05_a","cs5q05_b","cs5q05_a_other","cs5q06","cs5q07","cs5q08_a","cs5q08_b","cs5q09","cs5q10","cs5q11","cs5q08_a_other"
"020103088800601","02010300601",2,1,3,8,88,6,1,1,10,9,,2,,,,,,1,2,10,1,2,,,
"020103088800802","02010300802",2,1,3,8,88,8,2,1,10,,,2,,,,,,1,1,1,3,2,,,
"020104088800201","02010400201",2,1,4,8,88,2,1,1,10,4,,2,,,,,,1,2,1,4,2,,,
"020105088800404","02010500404",2,1,5,8,88,4,4,1,4,3,,2,,,,,,1,1,9,4,2,,,
"020105088801103","02010501103",2,1,5,8,88,11,3,1,4,,,1,10,2,4,,,1,1,4,11,2,,,
"020106088800402","02010600402",2,1,6,8,88,4,2,1,4,,,2,,,,,,2,,,,2,,,
"020301030100101","02030100101",2,3,1,3,1,1,1,10,10,3,,1,15,2,11,10,,1,1,11,10,1,30,20,
"020302088800102","02030200102",2,3,2,8,88,1,2,10,,,,2,,,,,,2,,,,1,25,10,
"020304088800601","02030400601",2,3,4,8,88,6,1,1,3,,,2,,,,,,2,,,,2,,,
"020306088800601","02030600601",2,3,6,8,88,6,1,1,,,,1,15,3,11,,,2,,,,2,,,
"030101088800204","03010100204",3,1,1,8,88,2,4,1,4,10,,1,10,1,1,,,1,1,1,4,2,,,
"030104088800901","03010400901",3,1,4,8,88,9,1,1,4,10,,1,2,1,1,,,2,,,,2,,,
"030108088800701","03010800701",3,1,8,8,88,7,1,1,,,,1,20,1,1,,,2,,,,2,,,
"030109020100112","03010900112",3,1,9,2,1,1,12,4,5,6,,1,2,2,9,11,"yegulbet   sera",1,1,4,5,1,1,2,
"030110088801806","03011001806",3,1,10,8,88,18,6,1,,,,1,25,1,1,,,2,,,,2,,,
"030111088800102","03011100102",3,1,11,8,88,1,2,1,4,6,,1,1,1,4,,,1,1,4,,1,45,40,
"030112088800203","03011200203",3,1,12,8,88,2,3,1,4,,,1,2,1,1,,,2,,,,2,,,
"030114088800816","03011400816",3,1,14,8,88,8,16,1,4,5,,1,2,1,1,,,1,1,1,4,2,,,
"030116088802804","03011602804",3,1,16,8,88,28,4,1,4,,,1,10,1,1,,,2,,,,2,,,
"030118010100610","03011800610",3,1,18,1,1,6,10,4,5,6,,1,2,2,11,,"yegulbet   sera",1,1,4,,1,1,1,
"030118010101204","03011801204",3,1,18,1,1,12,4,4,5,6,,1,1,2,4,6,,1,1,4,6,1,36,8,
"030118010102006","03011802006",3,1,18,1,1,20,6,4,9,10,,1,5,2,9,,,1,1,9,,1,12,8,
"030120020100105","03012000105",3,1,20,2,1,1,5,1,4,10,,1,5,1,1,,,1,1,4,10,2,,,
"030201088800703","03020100703",3,2,1,8,88,7,3,1,,,,1,3,1,1,,,2,,,,2,,,
"030202088802508","03020202508",3,2,2,8,88,25,8,1,4,,,1,10,2,11,,,2,,,,2,,,
"030204088800906","03020400906",3,2,4,8,88,9,6,1,3,,,1,40,1,1,9,,2,,,,2,,,
"030205088801907","03020501907",3,2,5,8,88,19,7,1,2,,,1,3,2,1,9,,2,,,,2,,,
"030207010100110","03020700110",3,2,7,1,1,1,10,4,8,9,,1,3,1,1,9,,1,1,4,9,1,10,5,
"030207088803703","03020703703",3,2,7,8,88,37,3,1,,,,1,57,2,9,,,2,,,,2,,,
"030209010100104","03020900104",3,2,9,1,1,1,4,4,5,6,,1,5,3,11,9,,1,1,11,5,1,5,5,
"030209088800708","03020900708",3,2,9,8,88,7,8,1,,,,1,3,1,1,,,2,,,,2,,,
"030301088800204","03030100204",3,3,1,8,88,2,4,1,5,6,,1,2,1,1,10,,2,,,,2,,,
"030302010100108","03030200108",3,3,2,1,1,1,8,6,4,5,,1,5,3,11,1,,1,1,6,,2,,,
