"ea_id2","ea_id","sa1q01","sa1q02","sa1q03","sa1q04","sa1q05","sa1q06","sa1q07","cs3q01","cs3q02","cs3q03","cs3q04_a","cs3q04a_oth","cs3q04_b","cs3q04_c","cs3q04c_oth","cs3q04_d","cs3q04_e","cs3q04e_oth","cs3q04_f","cs3q06","cs3q07","cs3q07_oth","cs3q08","cs3q09","cs3q10","scsq11","cs3q12_a","cs3q12_b","cs3q12_c","cs3q12_d","cs3q12_e","cs3q12_f"
"040520010100113","04052000113",4,5,20,1,1,1,13,1,40000,6000,1,,4000,3,,1000,4,,500,4,3,,1,0,0,0,2,75,1,15,3,10
"040601020100102","04060100102",4,6,1,2,1,1,2,2,6615,3297,1,,2847,3,,250,4,,200,3,6,,2,5,0,2,1,2200,2,700,3,397
"040601088802303","04060102303",4,6,1,8,88,23,3,3,6500,1300,1,,980,3,,200,7,,120,0,2,,1,0,0,10,1,999,2,100,,
"040605088801004","04060501004",4,6,5,8,88,10,4,2,3795,759,1,,759,,,,,,,0,2,,3,30,60,10,1,759,,,,
"040608088801902","04060801902",4,6,8,8,88,19,2,2,2547,614,1,,611,4,,3,,,,10,2,,5,5,5,10,1,580,2,20,3,14
"040701088801502","04070101502",4,7,1,8,88,15,2,1,9879,646,4,,500,3,,100,1,,46,70,2,,5,18,0,20,1,80,3,20,,
"040704088801002","04070401002",4,7,4,8,88,10,2,2,3422,550,1,,543,4,,5,3,,2,5,2,,5,3,0,0,1,99,,,,
"040707010100104","04070700104",4,7,7,1,1,1,4,1,19141,4424,1,,3579,3,,490,2,,355,0,2,,1,0,5,0,1,85,2,10,3,5
"040707088802702","04070702702",4,7,7,8,88,27,2,4,5200,800,1,,400,2,,150,3,,250,10,2,,1,15,0,10,1,100,,,,
"040712088802302","04071202302",4,7,12,8,88,23,2,3,1850,278,1,,1700,3,,150,,,,0,2,,1,0,0,0,1,99,3,1,,
"040713010100209","04071300209",4,7,13,1,1,2,9,1,38100,14442,1,,7221,4,,5338,3,,1883,1,2,,1,0,60,1,2,80,1,15,3,5
"040806088800802","04080600802",4,8,6,8,88,8,2,4,35580,580,4,,580,,,,,,,5,2,,1,2,0,3,1,580,,,,
"040808010100107","04080800107",4,8,8,1,1,1,7,4,6425,1585,4,,875,1,,600,3,,110,1,3,,1,0,0,0,1,153,2,50,,
"040812088802401","04081202401",4,8,12,8,88,24,1,4,11280,1128,4,,620,1,,478,3,,30,30,2,,1,20,0,10,1,100,,,,
"040817088802801","04081702801",4,8,17,8,88,28,1,4,2170,310,4,,304,1,,6,,,,10,2,,2,5,0,15,1,100,,,,
"040825010100102","04082500102",4,8,25,1,1,1,2,1,57194,11437,4,,55,1,,35,3,,10,0,3,,1,0,15,0,2,60,1,35,3,5
"040901088800304","04090100304",4,9,1,8,88,3,4,3,5488,1258,4,,1252,1,,6,,,,23.847375869751,1,,5,30,0,20,1,90,3,10,,
"040907088800105","04090700105",4,9,7,8,88,1,5,2,9338,1777,4,,1772,1,,8,,,,25,2,,5,30,0,10,1,99,3,1,,
"040909010100105","04090900105",4,9,9,1,1,1,5,3,8000,950,4,,6800,1,,1120,3,,80,1,6,,1,0,0,0,1,85,3,13,2,2
"040910088801104","04091001104",4,9,10,8,88,11,4,2,6400,1200,4,,1000,1,,200,,,,1,2,,5,25,0,10,1,95,3,5,,
"040913088801004","04091301004",4,9,13,8,88,10,4,2,9528,1688,4,,1210,1,,410,2,,68,1,2,,3,20,0,15,1,85,3,15,,
"040914010100212","04091400212",4,9,14,1,1,2,12,1,19639,1960,4,,1079,1,,663,3,,218,10,4,,1,2,0,0,1,70,2,25,3,5
"041005088800403","04100500403",4,10,5,8,88,4,3,1,11200,1493,4,,11190,1,,10,,,,15,2,,1,15,4,0,1,999,2,3,,
"041009088803605","04100903605",4,10,9,8,88,36,5,2,4560,912,4,,692,1,,200,3,,20,1,2,,5,20,0,15,1,97,3,3,,
"041013088802203","04101302203",4,10,13,8,88,22,3,2,5713,1066,4,,5706,1,,6,,,,0,2,,4,1,97,2,1,95,2,5,,
"041016088800104","04101600104",4,10,16,8,88,1,4,4,17780,7500,4,,5000,1,,2000,3,,500,0,3,,5,1,75,5,1,95,2,5,,
"041104088801304","04110401304",4,11,4,8,88,13,4,1,5553,992,4,,3450,1,,2083,3,,20,75,2,,1,10,0,15,1,80,3,20,,
"041108088801402","04110801402",4,11,8,8,88,14,2,1,4000,1600,4,,1100,1,,500,,,,20,2,,1,0,0,2,1,100,,,,
"041112088800402","04111200402",4,11,12,8,88,4,2,1,6262,1304,4,,6232,1,,30,,,,45,2,,1,0,0,50,1,80,3,15,2,5
"041116088801404","04111601404",4,11,16,8,88,14,4,4,2400,647,1,,400,4,,237,3,,10,5,2,,5,10,0,0,1,100,,,,
"041118088800102","04111800102",4,11,18,8,88,1,2,4,1430,342,4,,1430,,,,,,,80,1,,1,80,0,0,3,300,1,30,2,12
"041119010100317","04111900317",4,11,19,1,1,3,17,1,45000,3117,1,,60,4,,42,3,,8,2,3,,1,0,0,0,1,60,2,25,3,15
"041206088802801","04120602801",4,12,6,8,88,28,1,2,9465,1436,3,,7400,7,,1720,,,,10,2,,3,3,0,1,1,60,3,40,,
"041211088801301","04121101301",4,12,11,8,88,13,1,3,1820,364,7,,237,4,,73,3,,36,8,1,,1,62,10,6,1,70,3,30,,
"041216088800101","04121600101",4,12,16,8,88,1,1,2,1860,72,7,,300,4,,50,3,,22,10,1,,1,80,20,0,1,372,,,,
"041302088801103","04130201103",4,13,2,8,88,11,3,3,6500,1600,1,,800,3,,800,,,,2,2,,3,2,0,1,1,50,3,20,2,30
"041305010100102","04130500102",4,13,5,1,1,1,2,1,21000,10000,1,,6000,3,,2500,4,,1500,2,3,,1,30,50,20,1,60,2,25,3,15
"041306088800204","04130600204",4,13,6,8,88,2,4,1,2717,459,1,,435,4,,24,,,,5,2,,5,5,0,10,1,413,2,9,3,37
"041309088801003","04130901003",4,13,9,8,88,10,3,4,1200,550,1,,549,3,,1,,,,2,2,,1,1,98,1,1,90,2,5,3,5
"041314010100306","04131400306",4,13,14,1,1,3,6,1,35000,5000,1,,2400,4,,1785,3,,625,2,3,,1,1,0,0,2,43,3,31,1,26
"041402088802701","04140202701",4,14,2,8,88,27,1,2,3372,562,3,,520,1,,30,4,,12,15,2,,3,20,1,10,1,400,3,165,,
"041405088801906","04140501906",4,14,5,8,88,19,6,1,1500,150,3,,25000,4,,4500,1,,2800,65,2,,2,12,30,40,3,60,1,35,2,5
"041409088800501","04140900501",4,14,9,8,88,5,1,2,5732,746,3,,4700,7,,700,4,,332,40,2,,2,10,5,5,1,70,3,30,,
"041501010100115","04150100115",4,15,1,1,1,1,15,1,11703,2332,1,,85,3,,10,4,,5,0,3,,2,0,0,5,2,50,1,40,3,10
"041501010100331","04150100331",4,15,1,1,1,3,31,1,30000,3348,1,,55,4,,35,3,,10,0,2,,1,0,70,5,1,95,2,5,3,0
"041501010100524","04150100524",4,15,1,1,1,5,24,1,25570,5179,4,,60,1,,25,3,,10,0,3,,1,0,0,0,2,75,3,20,1,5
"041501010100918","04150100918",4,15,1,1,1,9,18,1,30000,3000,1,,60,4,,30,3,,10,0,3,,2,0,0,0,1,40,2,40,3,20
"041501010101124","04150101124",4,15,1,1,1,11,24,1,25874,5400,1,,50,4,,40,3,,10,0,3,,1,0,0,0,3,70,2,20,1,10
"041501010101430","04150101430",4,15,1,1,1,14,30,1,22600,5561,1,,2058,4,,2385,3,,1118,0,7,"ye kutaba betoch yetegenebubat",1,1,0,0,3,5,1,45,2,50
"041601010100603","04160100603",4,16,1,1,1,6,3,1,21747,3505,1,,1405,4,,1200,3,,875,2,3,,1,4,0,3,1,42,2,35,3,23
"041601010101109","04160101109",4,16,1,1,1,11,9,1,18745,2935,1,,1240,4,,916,3,,754,2,3,,1,3,2,3,1,45,3,35,2,20
"041703088801901","04170301901",4,17,3,8,88,19,1,4,14404,1024,4,,600,1,,250,3,,150,25,2,,5,20,0,30,1,85,3,15,,
"041706010100124","04170600124",4,17,6,1,1,1,24,1,31670,2280,4,,80,1,,15,3,,5,15,3,,1,0,0,0,1,85,3,5,2,10
"041707088800204","04170700204",4,17,7,8,88,2,4,1,14307,7626,4,,11446,1,,2575,3,,286,60,2,,1,5,0,20,1,80,2,5,3,15
"041711010100202","04171100202",4,17,11,1,1,2,2,1,21680,2419,4,,1217,1,,1000,3,,202,0,3,,1,0,0,0,2,60,3,30,1,10
"041711010100511","04171100511",4,17,11,1,1,5,11,1,29000,2501,4,,1301,3,,850,2,,350,0,3,,1,0,0,0,1,80,2,15,3,5
"041712088800807","04171200807",4,17,12,8,88,8,7,4,7409,1143,4,,1000,3,,150,,,,45,2,,1,25,0,25,1,95,3,5,,
"041803088801004","04180301004",4,18,3,8,88,10,4,2,2852,492,3,,310,2,,132,4,,50,1,2,,4,5,0,1,1,70,3,30,,
"041807088801106","04180701106",4,18,7,8,88,11,6,4,11666,1681,3,,1194,1,,370,4,,117,8,2,,3,0,0,0,3,86,1,10,2,4
"041901088800103","04190100103",4,19,1,8,88,1,3,2,2787,451,3,,260,1,,150,4,,41,1,2,,5,7,0,10,1,78,2,20,3,2
"041904088800101","04190400101",4,19,4,8,88,1,1,4,6236,818,1,,502,2,,256,7,,60,1,2,,1,5,3,0,1,80,1,15,2,5
"041908088800704","04190800704",4,19,8,8,88,7,4,4,3172,512,1,,380,3,,132,,,,1,2,,5,5,0,10,1,75,2,25,,
"050101088800902","05010100902",5,1,1,8,88,9,2,1,1800,600,4,,500,1,,100,,,,4,1,,1,80,0,0,1,500,,,,
"050102010100101","05010200101",5,1,2,1,1,1,1,1,4806,2620,4,,4556,1,,250,,,,5,6,,1,100,0,0,1,250,,,,
"050102088802401","05010202401",5,1,2,8,88,24,1,2,2700,300,4,,300,,,,,,,30,1,,2,50,20,30,1,100,,,,
"050103088801101","05010301101",5,1,3,8,88,11,1,2,800,300,4,,300,,,,,,,3,1,,1,40,0,30,1,300,,,,
"050104088801102","05010401102",5,1,4,8,88,11,2,3,7743,1284,4,,1280,1,,4,,,,7,2,,2,50,20,5,3,99,1,1,,
"050104088801701","05010401701",5,1,4,8,88,17,1,3,4673,561,4,,5,4,,1,,,,5,2,,5,30,50,0,3,99,1,1,,
"050202088800102","05020200102",5,2,2,8,88,1,2,2,2740,555,4,,505,1,,40,3,,10,5,1,,2,60,0,0,3,505,2,40,3,10
"050202088801001","05020201001",5,2,2,8,88,10,1,2,2500,850,4,,850,,,,,,,25,2,,3,25,0,0,3,850,,,,
"050204010100624","05020400624",5,2,4,1,1,6,24,1,24663,4932,4,,50,1,,40,3,,10,25,3,,1,0,0,0,2,40,3,45,1,15
"050204088808901","05020408901",5,2,4,8,88,89,1,2,2240,560,4,,560,,,,,,,25,2,,1,25,0,0,3,100,,,,
"050204088816502","05020416502",5,2,4,8,88,165,2,2,2870,570,4,,570,,,,,,,25,2,,2,35,0,0,3,570,,,,
"050206010100202","05020600202",5,2,6,1,1,2,2,1,3600,800,4,,90,1,,10,,,,50,4,,1,0,0,0,3,97,1,3,,
"050206010100310","05020600310",5,2,6,1,1,3,10,2,3600,900,4,,90,1,,7,3,,3,25,4,,1,0,0,0,3,75,1,20,2,5
"050206088800901","05020600901",5,2,6,8,88,9,1,1,4500,900,4,,900,,,,,,,10,2,,1,30,0,0,1,900,,,,
"050206088802801","05020602801",5,2,6,8,88,28,1,4,160,640,4,,460,,,,,,,25,2,,1,50,0,0,3,100,,,,
"050206088803803","05020603803",5,2,6,8,88,38,3,2,2130,406,4,,406,,,,,,,40,2,,1,60,0,0,3,100,,,,
"050207088804801","05020704801",5,2,7,8,88,48,1,2,7500,150,4,,380,,,,,,,1,4,,1,40,0,0,1,100,,,,
"050207088809201","05020709201",5,2,7,8,88,92,1,2,573,107,4,,107,,,,,,,20,4,,1,50,0,0,1,100,,,,
"050901088800907","05090100907",5,9,1,8,88,9,7,2,6700,700,4,,6700,,,,,,,50,1,,1,70,0,0,3,100,,,,
"050901088802802","05090102802",5,9,1,8,88,28,2,2,3000,1700,4,,2975,3,,15,1,,10,50,1,,1,60,0,0,3,100,,,,
"050902088801201","05090201201",5,9,2,8,88,12,1,2,2000,411,4,,407,1,,4,,,,50,4,,1,60,0,0,3,100,,,,
"050903088802001","05090302001",5,9,3,8,88,20,1,2,11700,1864,4,,11700,,,,,,,70,1,,1,95,0,0,3,100,,,,
"050903088802602","05090302602",5,9,3,8,88,26,2,2,15865,3600,4,,15865,,,,,,,55,1,,1,90,0,0,3,100,,,,
"050903088803404","05090303404",5,9,3,8,88,34,4,3,4886,736,4,,4886,,,,,,,30,1,,5,80,0,0,3,100,,,,
"050904010100101","05090400101",5,9,4,1,1,1,1,4,7800,567,4,,567,,,,,,,50,4,,1,5,0,0,3,567,,,,
"050904088800302","05090400302",5,9,4,8,88,3,2,1,1700,420,4,,420,,,,,,,65,1,,1,60,10,0,3,420,,,,
"060201088800802","06020100802",6,2,1,8,88,8,2,1,1250,335,4,,1180,1,,70,,,,0,2,,5,15,0,0,1,85,3,15,,
"060204088800402","06020400402",6,2,4,8,88,4,2,4,3760,708,1,,90,2,,10,,,,15,2,,5,15,0,15,1,90,3,10,,
"060207088801002","06020701002",6,2,7,8,88,10,2,1,3151,549,1,,1891,4,,945,3,,315,2,7,,5,5,0,60,1,100,,,,
"060301088800301","06030100301",6,3,1,8,88,3,1,1,2496,525,4,,2476,1,,20,,,,85,1,,5,60,0,20,1,95,3,5,,
"060303088804202","06030304202",6,3,3,8,88,42,2,2,1108,288,4,,516,1,,433,,,,0,2,,1,5,0,20,1,50,,,,
"060305010100102","06030500102",6,3,5,1,1,1,2,3,4056,901,1,,2300,4,,1270,3,,390,1,6,,1,20,0,50,1,60,3,30,2,10
"060305088803003","06030503003",6,3,5,8,88,30,3,3,6460,1370,4,,800,1,,300,3,,270,20,2,,1,25,5,2,1,90,3,10,,
"060402088800801","06040200801",6,4,2,8,88,8,1,4,848,150,3,,280,4,,70,,,,25,2,,2,30,0,10,1,95,3,5,,
"060405088800203","06040500203",6,4,5,8,88,2,3,1,5071,2160,3,,1550,1,,480,4,,130,30,2,,1,40,70,40,1,80,3,20,,
"060608088800402","06060800402",6,6,8,8,88,4,2,2,3200,800,4,,3188,1,,12,,,,80,2,,2,40,0,10,3,100,,,,
"060608088801401","06060801401",6,6,8,8,88,14,1,1,3040,544,4,,3033,1,,7,,,,75,2,,2,20,0,80,1,100,,,,
"070103088800404","07010300404",7,1,3,8,88,4,4,1,6200,575,1,,280,4,,194,3,,51,1,2,,1,1,0,35,1,321,3,204,,
"070105088802502","07010502502",7,1,5,8,88,25,2,2,2600,231,1,,231,,,,,,,2,2,,1,5,2,10,1,95,3,5,,
"070108088800701","07010800701",7,1,8,8,88,7,1,2,2400,327,1,,307,4,,20,,,,1,2,,2,5,0,25,1,92,3,8,,
"070110010100102","07011000102",7,1,10,1,1,1,2,1,5500,1149,4,,720,1,,240,2,,110,0,3,,1,0,0,0,1,560,3,420,2,90
"070111088800401","07011100401",7,1,11,8,88,4,1,2,3065,664,2,,594,1,,40,3,,30,1,2,,1,2,0,35,3,594,1,40,3,30
"070112088802605","07011202605",7,1,12,8,88,26,5,2,6005,744,1,,744,,,,,,,10,2,,2,20,10,5,1,40,3,60,,
"070115010100108","07011500108",7,1,15,1,1,1,8,1,13000,7250,1,,5000,4,,500,3,,450,3,7,"""Lemenoria """,2,0,0,0,2,60,3,25,1,15
"070202010100105","07020200105",7,2,2,1,1,1,5,1,4560,1140,3,,70,1,,30,,,,5,4,,5,0,0,0,1,65,3,35,,
"070202088801001","07020201001",7,2,2,8,88,10,1,2,4950,523,3,,509,1,,12,,,,5,2,,5,25,0,5,1,100,,,,
"070205088801302","07020501302",7,2,5,8,88,13,2,3,7026,879,3,,564,2,,250,1,,65,9,2,,1,0,0,1,3,879,,,,
"070207088801001","07020701001",7,2,7,8,88,10,1,2,3754,467,3,,85,1,,15,,,,10,2,,3,15,65,20,3,90,1,10,,
"070210088801401","07021001401",7,2,10,8,88,14,1,4,3992,492,3,,392,2,,100,,,,1,2,,1,20,3,9,1,80,3,20,,
"070211010100311","07021100311",7,2,11,1,1,3,11,1,9423,7429,3,,1500,1,,500,4,,450,20,6,,1,0,0,0,3,75,1,15,2,10
"070302088800501","07030200501",7,3,2,8,88,5,1,2,5000,603,3,,553,1,,50,,,,3,2,,5,5,87,8,3,95,1,5,,
"070304088800501","07030400501",7,3,4,8,88,5,1,2,3453,422,3,,400,2,,22,,,,1,2,,4,10,75,15,3,80,1,20,,
"070306088800204","07030600204",7,3,6,8,88,2,4,2,8000,800,3,,760,1,,40,,,,5,2,,1,8,0,15,1,50,2,50,,
"070401088801103","07040101103",7,4,1,8,88,11,3,2,9485,1260,3,,1197,4,,50,1,,13,20,2,,1,1,0,5,3,80,1,18,2,2
"070404088800903","07040400903",7,4,4,8,88,9,3,4,2030,406,3,,1280,1,,340,2,,66,1,2,,3,5,0,8,1,315,3,100,,
"070405010100603","07040500603",7,4,5,1,1,6,3,4,52000,10299,3,,69,1,,21,4,,10,7,3,,5,4,30,40,2,60,3,30,1,10
"070406088801903","07040601903",7,4,6,8,88,19,3,2,2407,408,3,,2407,,,,,,,1,2,,3,0,0,8,3,292,,,,
"070409088801103","07040901103",7,4,9,8,88,11,3,4,70999,981,3,,836,2,,120,1,,25,5,2,,3,30,0,0,1,80,3,15,2,5
"070410010100105","07041000105",7,4,10,1,1,1,5,1,5252,2200,3,,1650,2,,330,4,,220,10,6,,1,0,0,0,3,70,2,20,1,10
"070412088800908","07041200908",7,4,12,8,88,9,8,4,7686,2890,3,,2601,2,,173,4,,116,10,1,,3,4,0,4,1,89,3,11,,
"070417088800202","07041700202",7,4,17,8,88,2,2,3,2566,543,3,,2566,,,,,,,1,2,,1,10,0,0,1,330,,,,
"070501088800907","07050100907",7,5,1,8,88,9,7,2,13824,1931,3,,1700,2,,131,5,,100,4,2,,4,0,100,0,3,999,1,131,,
"070502088801705","07050201705",7,5,2,8,88,17,5,2,5583,1188,3,,1000,1,,88,6,,100,8,2,,3,0,0,1,1,85,3,15,,
"070503088802201","07050302201",7,5,3,8,88,22,1,2,4870,2759,3,,2459,5,,250,1,,50,2,2,,5,0,0,4,1,80,3,20,,
"070505088800304","07050500304",7,5,5,8,88,3,4,3,10225,1120,3,,1060,2,,110,,,,10,2,,3,0,100,0,3,80,1,20,,
"070506088801303","07050601303",7,5,6,8,88,13,3,3,13500,1260,3,,960,4,,170,1,,130,5,2,,2,0,100,0,1,85,3,10,2,5
"070601010100207","07060100207",7,6,1,1,1,2,7,1,8805,1761,3,,1233,1,,475,4,,52,1,3,,1,0,0,1,3,80,2,15,1,5
"070602088801501","07060201501",7,6,2,8,88,15,1,2,4247,711,3,,3200,1,,987,2,,60,2,2,,4,5,0,0,3,25,,,,
"070603010100103","07060300103",7,6,3,1,1,1,3,1,3116,150,3,,3000,1,,1000,2,,100,0,3,,2,1,2,0,1,80,2,10,1,2
"070605088800601","07060500601",7,6,5,8,88,6,1,2,4812,980,3,,600,1,,300,2,,80,7,2,,3,25,5,1,3,15,,,,
"070607088800601","07060700601",7,6,7,8,88,6,1,4,4614,930,3,,900,1,,30,,,,5,2,,5,2,88,10,3,80,2,20,,
"070610088800902","07061000902",7,6,10,8,88,9,2,4,6228,1114,3,,750,1,,364,,,,20,2,,3,10,70,20,1,60,3,40,,
"070613010100335","07061300335",7,6,13,1,1,3,35,3,7945,1070,3,,749,1,,311,4,,10,1,3,,2,0,0,0,3,70,1,28,2,2
"070702088802904","07070202904",7,7,2,8,88,29,4,1,2850,700,3,,520,1,,140,5,,40,10,2,,5,0,0,2,1,60,2,40,,
"070703088802101","07070302101",7,7,3,8,88,21,1,2,706,215,3,,178,1,,37,,,,25,2,,2,50,10,5,1,215,,,,
"070706010100103","07070600103",7,7,6,1,1,1,3,1,3000,900,1,,670,3,,140,4,,90,5,6,,1,60,0,0,1,75,2,25,,
"070801088800401","07080100401",7,8,1,8,88,4,1,3,4787,782,1,,225,3,,557,,,,10,2,,5,20,0,5,1,50,3,50,,
"070803088800206","07080300206",7,8,3,8,88,2,6,4,7252,1350,3,,3829,1,,2022,4,,1410,5,2,,2,0,0,24,1,85,3,14,2,1
"070803088801501","07080301501",7,8,3,8,88,15,1,4,4114,986,1,,2081,4,,1640,3,,393,7,2,,1,0,11,33,1,85,3,15,,
"070902088800503","07090200503",7,9,2,8,88,5,3,3,4072,550,3,,390,2,,150,4,,10,5,2,,2,5,0,7,1,550,,,,
"070905088800303","07090500303",7,9,5,8,88,3,3,4,3975,413,1,,410,3,,3,,,,25,2,,3,35,64,1,1,100,,,,
"070906010100104","07090600104",7,9,6,1,1,1,4,3,4379,898,1,,600,3,,200,2,,98,2,6,,5,5,0,5,1,75,2,15,3,10
"070907088801501","07090701501",7,9,7,8,88,15,1,4,1823,398,1,,200,3,,198,,,,10,2,,4,7,0,10,1,100,,,,
"070909088800601","07090900601",7,9,9,8,88,6,1,4,2010,450,3,,280,1,,160,2,,10,25,2,,3,0,0,20,1,85,3,15,,
"071001088800403","07100100403",7,10,1,8,88,4,3,1,2776,498,1,,310,3,,188,,,,25,2,,2,25,65,10,1,402,3,96,,
"071003088801001","07100301001",7,10,3,8,88,10,1,2,4641,633,3,,4400,1,,241,,,,10,2,,5,40,0,10,1,450,3,183,,
"071006088802401","07100602401",7,10,6,8,88,24,1,3,3672,462,3,,301,1,,78,6,,22,25,2,,3,10,0,5,1,60,2,40,,
"071008088800105","07100800105",7,10,8,8,88,1,5,3,3279,800,1,,640,3,,160,,,,15,3,,5,5,0,10,3,75,2,25,,
"071009088801703","07100901703",7,10,9,8,88,17,3,2,6090,1050,1,,3070,3,,2890,5,,130,5,2,,3,20,0,30,1,999,3,50,,
"071012088802901","07101202901",7,10,12,8,88,29,1,2,5692,740,3,,577,1,,15,6,,148,25,2,,4,40,0,10,3,85,1,15,,
"071016010100109","07101600109",7,10,16,1,1,1,9,1,14019,2407,1,,1000,3,,1000,4,,407,10,3,,1,10,0,0,1,50,2,30,3,20
"071101088800201","07110100201",7,11,1,8,88,2,1,4,4635,946,3,,450,1,,400,4,,96,25,2,,5,5,0,25,1,60,3,40,,
"071103088801302","07110301302",7,11,3,8,88,13,2,4,5234,1206,3,,800,5,,406,,,,50,2,,3,20,0,25,1,68,3,32,,
"071104010100302","07110400302",7,11,4,1,1,3,2,1,2000,600,3,,1000,2,,980,4,,20,10,2,,5,10,30,10,1,600,,,,
"071104088801603","07110401603",7,11,4,8,88,16,3,4,5801,818,3,,693,1,,110,5,,15,20,2,,1,15,75,10,1,818,,,,
"071105088802003","07110502003",7,11,5,8,88,20,3,4,7540,1000,3,,7163,5,,327,1,,50,30,4,,3,25,57,18,1,999,,,,
"071108088800501","07110800501",7,11,8,8,88,5,1,4,796,240,5,,200,1,,40,,,,80,2,,5,30,5,10,1,99,3,1,,
"071111010100401","07111100401",7,11,11,1,1,4,1,1,10945,2103,3,,1262,1,,736,4,,105,1,2,,1,0,0,0,1,80,3,10,2,10
"071201088800102","07120100102",7,12,1,8,88,1,2,3,4030,456,4,,453,1,,3,,,,5,2,,2,1,2,1,1,70,3,30,,
"071201088801602","07120101602",7,12,1,8,88,16,2,4,1555,272,1,,258,3,,14,,,,0,2,,3,11,0,8,1,95,3,5,,
"071201088802802","07120102802",7,12,1,8,88,28,2,4,1734,283,1,,261,3,,12,4,,10,2,2,,2,10,0,3,1,96,3,4,,
"071301088801301","07130101301",7,13,1,8,88,13,1,4,5502,831,3,,795,4,,120,6,,36,3,2,,5,30,0,15,3,795,1,36,,
"071301088802505","07130102505",7,13,1,8,88,25,5,1,4915,983,3,,797,1,,156,8,,30,15,2,,5,30,0,20,3,972,1,11,,
"071401088800402","07140100402",7,14,1,8,88,4,2,1,5320,1560,3,,3990,1,,1330,,,,20,2,,1,10,0,0,1,70,3,25,3,5
"071401088801303","07140101303",7,14,1,8,88,13,3,4,4134,698,3,,2300,1,,1400,4,,434,15,2,,4,30,0,0,3,498,1,200,,
"071501088800704","07150100704",7,15,1,8,88,7,4,1,7345,1169,3,,935,5,,175,4,,59,25,2,,5,45,0,15,1,760,3,409,,
"071501088802609","07150102609",7,15,1,8,88,26,9,1,16017,2068,3,,2068,,,,,,,1,2,,5,20,0,10,1,100,,,,
"071501088804404","07150104404",7,15,1,8,88,44,4,2,10217,1445,5,,1084,3,,332,1,,29,25,2,,3,45,0,1,1,1228,3,217,,
"071601088800803","07160100803",7,16,1,8,88,8,3,4,8392,3828,3,,4196,1,,3356,5,,840,1,2,,2,3,0,1,1,80,3,19,2,1
"071601088801705","07160101705",7,16,1,8,88,17,5,1,9319,1365,1,,4659,3,,4660,,,,5,2,,2,15,0,5,1,75,3,25,,
"071701088800103","07170100103",7,17,1,8,88,1,3,4,4103,918,3,,550,1,,358,5,,10,15,2,,3,25,0,15,1,75,3,15,2,10
"071702020100104","07170200104",7,17,2,2,1,1,4,1,5224,355,3,,200,1,,125,2,,30,0,2,,2,2,0,3,3,40,1,35,2,25
"071702088800803","07170200803",7,17,2,8,88,8,3,4,3507,348,3,,200,1,,100,2,,48,10,2,,3,25,0,10,3,50,2,10,1,40
"071703088801401","07170301401",7,17,3,8,88,14,1,4,2649,545,3,,445,1,,60,2,,40,10,2,,5,2,0,6,1,75,3,25,,
"071704088802501","07170402501",7,17,4,8,88,25,1,2,3086,386,3,,286,2,,100,,,,60,2,,3,15,0,10,1,75,3,25,,
"071801088800101","07180100101",7,18,1,8,88,1,1,4,3017,720,3,,500,1,,215,4,,5,10,2,,2,15,70,15,1,492,3,8,,
"071801088801001","07180101001",7,18,1,8,88,10,1,4,2014,280,3,,190,1,,90,,,,2,2,,2,20,75,5,1,220,3,60,,
"071801088802302","07180102302",7,18,1,8,88,23,2,4,1311,358,3,,250,1,,71,5,,37,10,2,,3,30,0,15,1,358,,,,
"071901088800701","07190100701",7,19,1,8,88,7,1,4,2436,416,3,,360,1,,53,5,,3,2,2,,5,5,0,25,1,70,3,30,,
"071901088802302","07190102302",7,19,1,8,88,23,2,4,2880,444,3,,260,1,,180,2,,4,2,2,,5,12,0,10,3,54,1,45,2,1
"072001088801203","07200101203",7,20,1,8,88,12,3,2,5755,1100,4,,1100,,,,,,,5,2,,3,2,0,1,1,60,3,40,,
"072002088803802","07200203802",7,20,2,8,88,38,2,1,5040,840,4,,830,1,,10,,,,5,2,,1,1,0,2,3,99,2,1,,
"072005088800107","07200500107",7,20,5,8,88,1,7,1,4776,1502,4,,1352,1,,105,3,,45,25,3,,1,0,0,0,3,90,2,10,,
"072005088800604","07200500604",7,20,5,8,88,6,4,2,6518,1250,4,,1250,,,,,,,20,2,,1,10,0,5,3,64,1,46,,
"072008088800805","07200800805",7,20,8,8,88,8,5,1,7090,2702,4,,2702,,,,,,,10,2,,5,5,0,10,1,100,,,,
"072101088803003","07210103003",7,21,1,8,88,30,3,2,4256,536,4,,534,1,,1,1,,1,14,2,,1,0,0,10,3,534,3,1,3,1
"072101088806202","07210106202",7,21,1,8,88,62,2,2,4500,570,4,,569,1,,1,,,,6,2,,1,2,0,5,3,569,3,1,,
"072219010100115","07221900115",7,22,19,1,1,1,15,3,3368,1112,1,,59,3,,40,4,,1,0,3,,1,0,0,0,2,60,3,30,1,10
"072219010100219","07221900219",7,22,19,1,1,2,19,3,9356,1110,1,,60,3,,39,4,,1,0,3,,1,0,0,0,2,60,3,35,1,5
"072219010100401","07221900401",7,22,19,1,1,4,1,3,6728,1926,1,,60,3,,39,4,,1,0,3,,1,0,0,0,2,50,1,40,3,5
"072219010100511","07221900511",7,22,19,1,1,5,11,1,12696,10587,3,,800,1,,600,4,,187,0,3,,1,0,0,0,2,75,3,20,1,5
