"ea_id2","ea_id","sa1q01","sa1q02","sa1q03","sa1q04","sa1q05","sa1q06","sa1q07","cs3q01","cs3q02","cs3q03","cs3q04_a","cs3q04a_oth","cs3q04_b","cs3q04_c","cs3q04c_oth","cs3q04_d","cs3q04_e","cs3q04e_oth","cs3q04_f","cs3q06","cs3q07","cs3q07_oth","cs3q08","cs3q09","cs3q10","scsq11","cs3q12_a","cs3q12_b","cs3q12_c","cs3q12_d","cs3q12_e","cs3q12_f"
"010503088801501","01050301501",1,5,3,8,88,15,1,1,5034,904,1,,804,4,,100,,,,0,2,,1,10,0,2,1,90,3,7,2,3
"010503088802304","01050302304",1,5,3,8,88,23,4,1,6700,1101,1,,1097,4,,4,,,,5,2,,5,19,0,12,1,90,3,10,,
"010601010100224","01060100224",1,6,1,1,1,2,24,1,8550,2300,1,,2000,4,,250,2,,50,0,3,,1,0,0,0,2,60,3,30,1,10
"010601010100303","01060100303",1,6,1,1,1,3,3,3,11299,3814,1,,3051,4,,763,3,,0,0,3,,1,0,1,0,2,50,1,40,3,10
"010601010100315","01060100315",1,6,1,1,1,3,15,1,10000,3025,1,,2100,2,,675,4,,250,0,6,,1,0,0,0,2,60,1,25,3,15
"010601010100423","01060100423",1,6,1,1,1,4,23,1,4580,1224,1,,857,4,,245,3,,122,0,3,,2,0,0,0,1,60,2,35,3,5
"010601010100532","01060100532",1,6,1,1,1,5,32,1,7400,2610,1,,1510,4,,760,2,,340,5,3,,1,0,0,0,2,58,1,25,3,17
"010601010103701","01060103701",1,6,1,1,1,37,1,1,10774,2448,1,,1469,4,,930,3,,49,0,3,,2,0,0,0,1,80,2,18,3,2
"010602010100113","01060200113",1,6,2,1,1,1,13,1,7021,3272,1,,2450,2,,510,4,,312,0,3,,1,0,0,0,2,50,1,30,3,20
"010602010100519","01060200519",1,6,2,1,1,5,19,2,14000,3550,1,,3000,4,,500,3,,50,2,3,,1,0,2,0,2,45,3,30,1,25
"020102010100102","02010200102",2,1,2,1,1,1,2,1,7000,2000,4,,1200,1,,700,3,,100,40,6,,1,0,0,0,3,100,,,,
"020103088800102","02010300102",2,1,3,8,88,1,2,2,5101,873,4,,873,,,,,,,13,4,,1,50,0,20,3,100,,,,
"020103010100204","02010300204",2,1,3,1,1,2,4,3,10000,6000,1,,2000,4,,3900,3,,100,40,2,,1,10,0,50,2,10,3,90,,
"020103088800601","02010300601",2,1,3,8,88,6,1,3,8880,1500,4,,1500,,,,,,,15,2,,1,40,0,0,3,100,,,,
"020103088800802","02010300802",2,1,3,8,88,8,2,1,3873,679,4,,679,,,,,,,30,2,,1,25,0,0,3,100,,,,
"020104088800201","02010400201",2,1,4,8,88,2,1,1,4783,1526,4,,1526,,,,,,,10,2,,1,2,10,5,1,100,,,,
"020105088800404","02010500404",2,1,5,8,88,4,4,1,4000,1353,4,,1333,1,,20,,,,25,1,,1,30,0,0,3,100,,,,
"020105088801103","02010501103",2,1,5,8,88,11,3,1,8000,554,4,,550,1,,4,,,,50,1,,1,90,0,0,3,100,,,,
"020106088800402","02010600402",2,1,6,8,88,4,2,1,4000,500,4,,500,,,,,,,60,1,,1,90,0,0,3,100,,,,
"020301030100101","02030100101",2,3,1,3,1,1,1,2,8000,1600,4,,1000,3,,400,1,,200,20,1,,1,30,20,50,1,80,2,5,3,15
"020302088800102","02030200102",2,3,2,8,88,1,2,2,3998,1145,4,,1145,,,,,,,25,1,,1,15,40,45,1,100,,,,
"020304088800601","02030400601",2,3,4,8,88,6,1,4,6000,1387,4,,1383,3,,3,1,,1,30,1,,5,50,15,35,1,95,3,5,,
"020306088800601","02030600601",2,3,6,8,88,6,1,4,1700,171,1,,95,4,,76,,,,2,2,,3,15,0,15,1,100,,,,
"030101088800204","03010100204",3,1,1,8,88,2,4,1,9735,1240,1,,1160,4,,80,,,,2,2,,3,2,0,10,1,94,3,6,,
"030104088800901","03010400901",3,1,4,8,88,9,1,3,6236,1425,1,,1335,4,,90,,,,3,2,,3,5,0,10,1,100,,,,
"030108088800701","03010800701",3,1,8,8,88,7,1,4,3400,495,1,,495,,,,,,,0,2,,2,25,0,8,1,495,,,,
"030109020100112","03010900112",3,1,9,2,1,1,12,2,20123,4024,1,,2682,4,,1342,,,,0,6,,2,1,0,0,1,35,2,10,,
"030110088801806","03011001806",3,1,10,8,88,18,6,4,5438,1134,1,,1134,,,,,,,0,2,,5,7,0,6,1,999,,,,
"030111088800102","03011100102",3,1,11,8,88,1,2,1,5018,1844,1,,3513,4,,1505,,,,15,2,,1,5,0,0,1,80,2,10,3,10
"030112088800203","03011200203",3,1,12,8,88,2,3,2,4000,378,1,,3995,4,,5,,,,2,1,,3,25,0,0,1,95,3,5,,
"030114088800816","03011400816",3,1,14,8,88,8,16,1,15549,5000,1,,2549,4,,3000,,,,1,2,,1,20,65,15,1,95,3,5,,
"030116088802804","03011602804",3,1,16,8,88,28,4,2,4518,1110,1,,1108,4,,2,,,,0,2,,1,7,0,15,1,999,,,,
"030118010100610","03011800610",3,1,18,1,1,6,10,1,11609,3635,1,,3035,4,,600,,,,0,3,,2,1,0,0,1,15,2,57,,
"030118010101204","03011801204",3,1,18,1,1,12,4,3,9961,3425,1,,2082,4,,1343,,,,0,3,,1,0,0,0,2,55,1,2,,
"030118010102006","03011802006",3,1,18,1,1,20,6,1,21150,3445,1,,2900,4,,340,3,,172,5,3,,2,0,0,5,1,70,2,27,3,3
"030120020100105","03012000105",3,1,20,2,1,1,5,1,6908,1437,1,,1337,4,,100,,,,3,2,,1,10,0,15,1,99,2,1,,
"030201088800703","03020100703",3,2,1,8,88,7,3,3,1560,5800,1,,5800,,,,,,,2,2,,3,30,0,2,1,100,,,,
"030202088802508","03020202508",3,2,2,8,88,25,8,2,1316,7816,1,,7816,,,,,,,0,2,,1,0,0,0,1,85,3,15,,
"030204088800906","03020400906",3,2,4,8,88,9,6,2,1372,6693,1,,6693,,,,,,,0,2,,5,39,0,8,1,100,,,,
"030205088801907","03020501907",3,2,5,8,88,19,7,2,1697,9119,1,,8990,4,,120,3,,10,0,2,,5,5,0,10,1,100,,,,
"030207010100110","03020700110",3,2,7,1,1,1,10,1,22462,10512,1,,7884,4,,2313,3,,33,12,3,,1,0,0,0,1,85,2,10,3,5
"030207088803703","03020703703",3,2,7,8,88,37,3,4,1453,6987,1,,6747,4,,240,,,,0,2,,5,25,0,15,1,90,,,,
"030209010100104","03020900104",3,2,9,1,1,1,4,2,2000,4000,4,,2500,1,,1500,,,,0,3,,1,0,0,0,1,90,2,6,3,4
"030209088800708","03020900708",3,2,9,8,88,7,8,3,2235,6785,1,,6785,,,,,,,1,2,,2,0,0,2,1,95,3,5,,
"030301088800204","03030100204",3,3,1,8,88,2,4,2,8210,1324,1,,8210,,,,,,,0,2,,4,5,0,1,1,80,3,20,,
"030302010100108","03030200108",3,3,2,1,1,1,8,1,7416,1702,1,,5562,4,,1854,,,,0,6,,5,1,0,0,1,95,2,2,3,3
"030302088802104","03030202104",3,3,2,8,88,21,4,2,8319,2223,4,,8236,1,,83,,,,1,2,,3,65,0,68,1,100,,,,
"030303088802404","03030302404",3,3,3,8,88,24,4,4,9666,2250,1,,9666,,,,,,,0,2,,2,10,0,25,1,100,,,,
"030304088800906","03030400906",3,3,4,8,88,9,6,1,11500,1880,1,,1730,4,,150,,,,1,2,,1,15,0,8,1,99,3,1,,
"030305088801101","03030501101",3,3,5,8,88,11,1,2,5635,1313,1,,1312,4,,1,,,,1,2,,1,35,0,15,1,90,3,10,,
"030307088801002","03030701002",3,3,7,8,88,10,2,2,4820,992,1,,986,4,,6,,,,0,2,,5,7,0,32,1,95,3,3,2,2
"030308088801617","03030801617",3,3,8,8,88,16,17,1,3232,940,4,,3000,1,,232,,,,2,2,,1,15,0,15,1,100,,,,
"030309010100308","03030900308",3,3,9,1,1,3,8,1,11871,3310,1,,1986,4,,993,3,,331,2,3,,5,5,0,15,2,60,1,30,3,10
"030310088801701","03031001701",3,3,10,8,88,17,1,2,4976,1507,1,,4776,4,,200,,,,0,2,,3,10,0,6,1,100,,,,
"030403088801401","03040301401",3,4,3,8,88,14,1,2,4656,1662,4,,1246,1,,249,,,,0,2,,3,25,60,15,2,75,1,10,1,5
"030406088800801","03040600801",3,4,6,8,88,8,1,2,5670,1370,4,,1370,1,,10,,,,5,2,,3,20,45,35,3,95,2,5,,
"030409088801203","03040901203",3,4,9,8,88,12,3,2,2785,697,4,,687,1,,10,,,,0,2,,2,15,0,5,1,20,,,,
"030411088800903","03041100903",3,4,11,8,88,9,3,2,6555,1870,1,,1172,4,,698,,,,0,2,,3,33,0,1,1,95,3,5,,
"030412010100105","03041200105",3,4,12,1,1,1,5,1,4786,1200,4,,700,1,,500,,,,0,4,,3,0,0,0,1,75,2,15,3,10
"030414088802101","03041402101",3,4,14,8,88,21,1,2,3251,894,4,,893,1,,1,,,,5,2,,3,14,48,38,2,100,,,,
"030416088800204","03041600204",3,4,16,8,88,2,4,2,5666,3400,1,,2100,4,,1300,,,,1,2,,3,30,0,25,1,95,3,5,,
"030418010100309","03041800309",3,4,18,1,1,3,9,1,22000,7500,1,,3750,4,,3000,3,,750,2,3,,5,4,0,10,2,50,3,40,1,10
