"","Score","poor_npl1"
"1",0,0.581023465619803
"2",1,0.56599298694743
"3",2,0.550840134831682
"4",3,0.535592329012506
"5",4,0.520277693929738
"6",5,0.504924853969109
"7",6,0.489562720798959
"8",7,0.47422027613032
"9",8,0.458926353357656
"10",9,0.443709421568201
"11",10,0.428597375343073
"12",11,0.413617333616022
"13",12,0.398795450612196
"14",13,0.384156741569584
"15",14,0.369724925562729
"16",15,0.355522287316661
"17",16,0.341569559435226
"18",17,0.327885825988617
"19",18,0.314488447926591
"20",19,0.301393010321684
"21",20,0.288613291014427
"22",21,0.276161249841506
"23",22,0.264047037286751
"24",23,0.252279021110011
"25",24,0.240863829283827
"26",25,0.229806407403242
"27",26,0.21911008862871
"28",27,0.208776674172581
"29",28,0.19880652234114
"30",29,0.189198644190586
"31",30,0.179950803939951
"32",31,0.171059622399516
"33",32,0.162520681812715
"34",33,0.154328630665859
"35",34,0.146477287186823
"36",35,0.138959740425405
"37",36,0.13176844797928
"38",37,0.124895329596163
"39",38,0.118331856041593
"40",39,0.112069132769995
"41",40,0.106097978072525
"42",41,0.10040899549754
"43",42,0.0949926404475931
"44",43,0.089839280950709
"45",44,0.0849392526834684
"46",45,0.0802829083898466
"47",46,0.0758606618935741
"48",47,0.0716630269440715
"49",48,0.067680651167829
"50",49,0.0639043454196297
"51",50,0.0603251088424002
"52",51,0.0569341499518607
"53",52,0.0537229040636019
"54",53,0.0506830473767614
"55",54,0.0478065080210223
"56",55,0.0450854743630498
"57",56,0.0425124008554553
"58",57,0.0400800116965866
"59",58,0.0377813025534405
"60",59,0.0356095405832617
"61",60,0.0335582629723253
"62",61,0.0316212741933285
"63",62,0.0297926421660058
"64",63,0.0280666934892369
"65",64,0.0264380078972019
"66",65,0.0249014120771683
"67",66,0.0234519729723542
"68",67,0.022084990680049
"69",68,0.0207959910428223
"70",69,0.0195807180192126
"71",70,0.0184351259097537
"72",71,0.017355371504549
"73",72,0.0163378062098097
"74",73,0.0153789682027868
"75",74,0.0144755746573213
"76",75,0.0136245140757472
"77",76,0.0128228387570717
"78",77,0.0120677574261772
"79",78,0.0113566280441812
"80",79,0.0106869508160229
"81",80,0.0100563614077554
"82",81,0.0094626243828814
"83",82,0.0089036268643276
"84",83,0.00837737242627168
"85",84,0.00788197521798424
"86",85,0.00741565432008505
"87",86,0.00697672833211434
"88",87,0.00656361018905204
"89",88,0.00617480220335814
"90",89,0.00580889132822958
"91",90,0.00546454463705285
"92",91,0.00514050501345692
"93",92,0.00483558704592
"94",93,0.00454867312054109
"95",94,0.00427870970533799
"96",95,0.00402470381926527
"97",96,0.00378571967904729
"98",97,0.00356087551688188
"99",98,0.00334934056208215
"100",99,0.00315033217977738
"101",100,0.00296311315988371
