"","Score","poor_npl1","poor_npl2","poor_150npl1","poor_200npl1","poor_2011_100","poor_2011_190","poor_2011_320","poor_2011_550","poor_2011_800","poor_2011_1100","poor_2011_1500","poor_2011_2170","poor_2005_125","poor_2005_250","poor_2005_500","poor_bottom_20","poor_bottom_40","poor_bottom_60","poor_bottom_80"
"1",0,0.580691236103219,0.228855670343666,0.783330180986672,0.874135214830162,0.138750666789839,0.495769536171399,0.767282111450804,0.919088186770785,0.942290148766965,0.938938845371377,0.928203850909813,0.923546327826646,0.317986303411581,0.710299911172309,0.922677417990222,0.553286893765565,0.743224142337469,0.86186938093909,0.926799474633121
"2",1,0.565679791390698,0.221230008422816,0.774717053391834,0.868776026215779,0.132302089294203,0.479105965459026,0.758209476759217,0.915571213038633,0.940349951521391,0.937955158585262,0.928231774586745,0.924685460734423,0.303365477214812,0.699555056697761,0.919435527213895,0.537675196577236,0.733544903860296,0.856229992142939,0.923860794625673
"3",2,0.550546888772705,0.213787996398442,0.765863874360565,0.863224353639398,0.126109331462516,0.46248876050709,0.748898892989696,0.911916018840388,0.938348792859588,0.936956688762009,0.928259688242711,0.925808984423418,0.289131912418655,0.688586402357166,0.916070078185799,0.521989269529806,0.723636475404746,0.850400330357707,0.920814219303974
"4",3,0.535319844120153,0.206529936895044,0.756772012380924,0.857476338599616,0.120166298907575,0.44595447304344,0.739353035731357,0.908118460094123,0.936285047571138,0.935943248205238,0.928287591880655,0.92691707233315,0.275302254211168,0.677401967741347,0.912577410366813,0.50625985499397,0.7135034967906,0.844377248025521,0.917656605871853
"5",4,0.520026670071436,0.199455774868217,0.747443524010107,0.85152831014987,0.114466652704018,0.42953892492412,0.729575323403712,0.904174381826504,0.934157066849434,0.934914647954671,0.928315485503519,0.928009897187491,0.261890390403994,0.666010677559789,0.908953843770438,0.490518038514841,0.703151396597216,0.838157818739749,0.914384786505588
"6",5,0.504695872592125,0.192565115443503,0.73788118166351,0.845376811152468,0.109003855219472,0.413276902356588,0.719569938993696,0.900079629634581,0.931963179387395,0.933870697816851,0.928343369114247,0.929087630957001,0.248907496802047,0.654422351245784,0.905195687440533,0.474795003766308,0.692586402272876,0.831739361966586,0.91099557420585
"7",6,0.489356239751545,0.185857242319059,0.728088498209136,0.839018625529548,0.10377121300772,0.397201869149665,0.709341847682963,0.895830062163535,0.92970169260016,0.932811206397524,0.928371242715781,0.930150444822768,0.236362113002298,0.642647685097332,0.901299248702302,0.459121785859336,0.681815545032961,0.825119468379629,0.907485769201993
"8",7,0.474036626017892,0.17933113657193,0.718069747894823,0.832450806395313,0.0987619167037016,0.381345703845658,0.698896809911369,0.89142156462626,0.927370893981114,0.931735981135726,0.928399106311062,0.931198509141719,0.22426024476085,0.630698226769252,0.897260843210552,0.443529027141304,0.670846659183758,0.818296025672066,0.903852165928853
"9",8,0.458765735495329,0.172985495716873,0.70782998314545,0.825670704932075,0.0939690779013859,0.36573846486075,0.688241389449303,0.886850063384792,0.924969052597594,0.930644828339603,0.928426959903033,0.93223199341338,0.212605488846336,0.618586342034608,0.893076805815814,0.428046739551976,0.659688375560376,0.811267244692353,0.900091560594489
"10",9,0.443571907555291,0.166818752876664,0.697375046785744,0.818675999850065,0.0893857630314125,0.350408186928562,0.677382956087917,0.882111541606734,0.922494420732613,0.929537553224023,0.928454803494634,0.933251066248044,0.201399176217691,0.606325173844186,0.888743502264844,0.412704077414701,0.648350108828216,0.804031685730494,0.896200759355167
