"","stable_coef_names","poor_npl1"
"1","consumed181",8
"2","hh_cook1",11
"3","hh_light1",8
"4","hh_roof1",6
"5","hh_size1",18
"6","hh_size2",11
"7","hhead_maxgrade1",10
"8","hmany041",7
"9","hmany042",11
"10","hmany311",8
"11","purchase061",9
"12","region1",0
"13","region2",8
"14","region4",6
"15","region5",4
"16","relativewi",2
