"","Score","poor_npl1"
"1",0,0.845947597108063
"2",1,0.837629371764696
"3",2,0.828952811515081
"4",3,0.819912286722041
"5",4,0.81050316459929
"6",5,0.800721922964232
"7",6,0.790566264001991
"8",7,0.780035226415206
"9",8,0.769129294156406
"10",9,0.757850499782101
"11",10,0.746202520338033
"12",11,0.73419076359196
"13",12,0.721822442382146
"14",13,0.70910663485442
"15",14,0.696054328425216
"16",15,0.682678445437875
"17",16,0.668993848678434
"18",17,0.655017325186187
"19",18,0.640767547132034
"20",19,0.626265008939149
"21",20,0.611531940278105
"22",21,0.596592195070943
"23",22,0.581471117171806
"24",23,0.566195383939112
"25",24,0.550792829457151
"26",25,0.535292249684192
"27",26,0.5197231922798
"28",27,0.504115734277497
"29",28,0.488500251103291
"30",29,0.472907180682026
"31",30,0.457366786511778
"32",31,0.441908923615647
"33",32,0.426562811199127
"34",33,0.411356815653153
"35",34,0.396318247256033
"36",35,0.381473173553729
"37",36,0.366846251952923
"38",37,0.352460583562627
"39",38,0.338337589787236
"40",39,0.3244969126265
"41",40,0.310956339095093
"42",41,0.29773174965391
"43",42,0.28483709006249
"44",43,0.272284365629669
"45",44,0.260083656467428
"46",45,0.248243152047263
"47",46,0.236769203122484
"48",47,0.225666388913868
"49",48,0.214937597357715
"50",49,0.204584116179872
"51",50,0.1946057325806
"52",51,0.185000839385557
"53",52,0.175766545629658
"54",53,0.166898789684515
"55",54,0.15839245320833
"56",55,0.150241474381484
"57",56,0.142438959084473
"58",57,0.134977288870839
"59",58,0.127848224780856
"60",59,0.121043006227537
"61",60,0.114552444361417
"62",61,0.108367009482063
"63",62,0.102476912210514
"64",63,0.0968721782669247
"65",64,0.0915427168111625
"66",65,0.0864783824012234
"67",66,0.0816690307055383
"68",67,0.0771045681715885
"69",68,0.072774995905739
"70",69,0.0686704480591623
"71",70,0.064781225043493
"72",71,0.0610978219187974
"73",72,0.0576109523069001
"74",73,0.054311568186397
"75",74,0.0511908759229734
"76",75,0.0482403488810903
"77",76,0.0454517369516765
"78",77,0.042817073316083
"79",78,0.0403286787499941
"80",79,0.0379791637529295
"81",80,0.0357614287699866
"82",81,0.0336686627530439
"83",82,0.0316943402891737
"84",83,0.029832217504811
"85",84,0.0280763269355491
"86",85,0.0264209715334762
"87",86,0.0248607179668639
"88",87,0.0233903893508793
"89",88,0.0220050575328661
"90",89,0.0207000350416689
"91",90,0.0194708667974648
"92",91,0.0183133216666005
"93",92,0.0172233839349939
"94",93,0.0161972447637043
"95",94,0.015231293681259
"96",95,0.0143221101591956
"97",96,0.0134664553099858
"98",97,0.0126612637399866
"99",98,0.0119036355842642
"100",99,0.0111908287449984
"101",100,0.0105202513506416
