unique_q_number,variable_name
1,region1
1,region2
1,region4
1,region5
2,relativewi
3,hh_size1
3,hh_size2
4,hhead_readwrite1
5,hhead_attended1
6,hhead_maxgrade1
7,consumed181
8,consumed201
9,purchased071
10,purchase061
11,hh_roof1
12,hh_kitchen1
13,hh_toilet1
14,hh_toiletshared1
14,hh_toiletshared2
15,hh_disposal1
16,hh_light1
17,hh_cook1
18,hmany041
18,hmany042
19,hmany051
19,hmany052
20,hmany061
21,hmany091
22,hmany311
