"","Score","poor_npl1","poor_npl2","poor_150npl1","poor_200npl1","poor_2011_100","poor_2011_190","poor_2011_320","poor_2011_550","poor_2011_800","poor_2011_1100","poor_2011_1500","poor_2011_2170","poor_2005_125","poor_2005_250","poor_2005_500","poor_bottom_20","poor_bottom_40","poor_bottom_60","poor_bottom_80"
"1",0,0.76853224544455,0.357546880829992,0.861992712200196,0.921819983364076,0.265037205877757,0.713290283500287,0.858026685838744,0.944723893206341,0.96490964717176,0.962272622851163,0.955412775897914,0.936435682463318,0.46441248189034,0.829672864095592,0.950784309134813,0.735410043834934,0.835513702434135,0.914549192153698,0.952258573003487
"2",1,0.758754168802897,0.344987137905128,0.856548111632377,0.918798471817077,0.253467543350375,0.701269641652146,0.852500342275679,0.942767375605821,0.963880757353141,0.961586063933944,0.955047160728622,0.936611300275503,0.451436619740083,0.822680805167254,0.949034681307354,0.724760048427488,0.829013286877332,0.911259243834631,0.950637947202851
"3",2,0.748698096335425,0.332640153350105,0.850925860593978,0.915670867274845,0.24223647146257,0.688964784067758,0.846797293680598,0.940745949897849,0.962822861648847,0.960887518915916,0.954678689731807,0.93678646563776,0.438526460277532,0.815465557469681,0.947226306271587,0.713848179271562,0.822310611851962,0.907855391134047,0.948965256161996
"4",3,0.738367387228386,0.32051883028507,0.845123101705045,0.912434278956911,0.231348825771297,0.676386974733674,0.840914886592931,0.938657773954566,0.961735211311406,0.960176797157821,0.954307342940185,0.936961179534929,0.425698993221985,0.80802522694603,0.945357460096235,0.702681175734762,0.815403697462339,0.904334682591971,0.947239029858361
"5",4,0.727766414049341,0.308634932439673,0.839137168837723,0.909085802582524,0.220807943352391,0.663548922173221,0.834850666731077,0.936500975653854,0.96061704235451,0.959453705670881,0.953933100285413,0.937135442950714,0.412970767200329,0.800358349616977,0.943426386148534,0.691266857856485,0.808290897570917,0.900694167604069,0.945457770682457
"6",5,0.716900594396514,0.29699906102871,0.832965607929514,0.905622526120682,0.210615734580404,0.650464760403848,0.828602399298864,0.934273654092833,0.959467575492543,0.958718049113721,0.953555941598246,0.937309256867673,0.400357807122645,0.792463924241159,0.941431295829443,0.679614133435754,0.80097092606182,0.896930903483147,0.943619953924244
"7",6,0.705776415931039,0.285620642569677,0.826606198309571,0.902041536022132,0.200772762755937,0.637150014813882,0.82216808971063,0.931973880961077,0.958286016097875,0.957969629790462,0.953175846608697,0.937482622267214,0.387875537350254,0.784341444517146,0.939370369438503,0.667732996321475,0.793442882978794,0.893041963045821,0.941724028351236
"8",7,0.69440145401723,0.274507927176297,0.820056974433237,0.898339923947173,0.191278329880736,0.623621552576071,0.815546004626826,0.92959970208237,0.957071554177197,0.957208247650041,0.952792794946226,0.937655540129591,0.375538711389291,0.775990930506978,0.937241757176529,0.655634515384896,0.785706280321025,0.889024442733642,0.93976841688407
"9",8,0.682784381248982,0.26366799672928,0.813316247905774,0.894514794001283,0.182130566948263,0.60989751748114,0.80873469317856,0.927149139133844,0.955823364368295,0.95643370028681,0.952406766139929,0.937828011433898,0.363361348723661,0.767412958939819,0.935043580294486,0.643330813767761,0.777761067263611,0.884875471275281,0.937751517375391
"10",9,0.670934968212847,0.253106782214656,0.806382629661901,0.890563270488447,0.17332652721194,0.595997249361398,0.801733008246211,0.924620191551424,0.954540605958673,0.95564578294247,0.952017739618754,0.938000037158069,0.351356679274372,0.758608692035647,0.93277393239707,0.630835038130146,0.769607654554283,0.880592218893339,0.935671703498088
"11",10,0.658864074930313,0.242829089431751,0.799255052153503,0.886482506189603,0.164862281008773,0.581941188574842,0.794540127644049,0.922010838630419,0.953222422927512,0.954844288509389,0.951625694711726,0.938171618278866,0.339537095841058,0.749579904473907,0.930430880909626,0.618161317767429,0.76124693782459,0.87617190705583,0.933527325748963
"12",11,0.646583632532668,0.23283863220738,0.791932791383929,0.882269691170792,0.15673301084694,0.56775076632599,0.787155575050128,0.919319041830054,0.951867944012494,0.954029007535371,0.951230610648189,0.938342755771882,0.327914114749342,0.740329008121397,0.928012468717119,0.605324713623394,0.752680319542882,0.871611818768614,0.931316712574036
"13",12,0.634106614850505,0.223138072209581,0.784415488613938,0.877922062122413,0.148933105606799,0.553448281901876,0.779579240508765,0.916542747290561,0.950476282803084,0.953199728229927,0.950832466558066,0.938513450611531,0.316498344797625,0.730859074127972,0.925516715983908,0.592341157392989,0.743909729328211,0.86690930940071,0.929038171621763
"14",13,0.621446999744332,0.213729064431989,0.776703171551876,0.873436912227392,0.141456252850674,0.539056768190607,0.771811400321882,0.91367988857124,0.949046537861906,0.952356236472103,0.950431241472132,0.938683703771048,0.305299464471964,0.721173851998676,0.922941622163073,0.579227381079766,0.734937642339374,0.862061818029811,0.926689991130434
"15",14,0.608619720160433,0.204612307417207,0.768796274829333,0.868811601552125,0.134295528383514,0.524599847116386,0.763852736135819,0.910728389617585,0.947577792875918,0.951498315819946,0.950026914322307,0.938853516222481,0.294326207280358,0.711277785257161,0.920285168203972,0.566000837545403,0.725767095452112,0.857066879290212,0.924270441456077
"16",15,0.595640605063848,0.195787597302194,0.760695659553668,0.864043567949689,0.127443482350385,0.510101576859633,0.755704353022,0.907686167965196,0.946069116839124,0.950625747521643,0.949619463941961,0.939022888936688,0.283586354950314,0.701176023328261,0.917545318966586,0.552679612757379,0.716401700940278,0.851922135699894,0.92177777674712
"17",16,0.582526310574257,0.187253884798584,0.752402631720732,0.859130338460046,0.120892221294792,0.495586292925741,0.747367796343546,0.904551138187719,0.944519564268612,0.949738310528418,0.949208869066243,0.939191822883335,0.273086738137684,0.690874429287788,0.914720025851003,0.539282330601152,0.706845657384063,0.846625350437648,0.919210236772021
"18",17,0.569294241806529,0.179009334263544,0.74391895926521,0.854069541186872,0.114633485731647,0.481078445273984,0.738845067195777,0.90132121559548,0.94292817545578,0.948835781509235,0.948795108332419,0.939360319030889,0.262833244211814,0.680379583155158,0.911807229650142,0.525828051270506,0.697103757540295,0.841174420534917,0.916566048905964
"19",18,0.555962466091026,0.171051384069892,0.73524688752247,0.848858917625075,0.108658722908692,0.466602433813777,0.730138636206786,0.89799432019078,0.941293976754622,0.947917934867394,0.948378160280234,0.939528378346614,0.252830831612817,0.669698780439563,0.908804863633455,0.512336164379751,0.687181392926675,0.835567390440504,0.913843430282536
"20",19,0.542549618414799,0.163376807545238,0.726389152875075,0.843496335407237,0.102959154539015,0.452182444615367,0.721251455485249,0.894568380885052,0.939615980908998,0.946984542759054,0.947958003352291,0.939696001796568,0.243083550221744,0.658840025692875,0.905710856868923,0.498826278050089,0.677084554893635,0.829802465909466,0.91104059011613
"21",20,0.529074800078764,0.155981773816719,0.717348994359376,0.837979801431029,0.0975258393844734,0.437842289164534,0.712186968506562,0.891041339982144,0.93789318742088,0.946035375113791,0.947534615894444,0.939863190345598,0.233594567143458,0.647812020872101,0.90252313779011,0.485318105306434,0.666819831984391,0.823878028160487,0.908155732200534
"22",21,0.515557471703225,0.14886190796822,0.70813016301313,0.832307475323149,0.0923497306549773,0.423605248916824,0.70294911773541,0.887411157930948,0.936124582961547,0.945070199657223,0.947107976156212,0.940029944957339,0.224366197274855,0.636624148370434,0.899239638014439,0.471831349177617,0.656394403415489,0.817792648238831,0.905187057588845
"23",22,0.502017341830612,0.142012349988957,0.698736928754081,0.826477683188642,0.0874217282618898,0.409493927278734,0.693542349793246,0.883675818349456,0.934309141827774,0.9440887819358,0.946678062291218,0.940196266594204,0.215399938016925,0.62528644863818,0.89585829641807,0.458385587920278,0.645816028546603,0.81154510151465,0.902132767459467
"24",23,0.488474252466309,0.135427812064227,0.68917408459206,0.820488931587559,0.0827327260255916,0.395530110966075,0.683971617992903,0.879833333320973,0.932445826445076,0.943090885343812,0.946244852357631,0.940362156217386,0.206696507487061,0.613809592381997,0.892377063471958,0.445000161784192,0.635093032249038,0.805134382239168,0.898991066172503
"25",24,0.474948062963067,0.129102633829584,0.679446947993459,0.814339921673875,0.0782736539882149,0.381734642469618,0.67424238207973,0.875881748961799,0.930533587920062,0.942076271152696,0.945808324318646,0.94052761478685,0.198255885596875,0.602204847402067,0.888793905842638,0.431694062704132,0.624234286126976,0.798559718074029,0.895760164520321
"26",25,0.461458533689708,0.12303083527739,0.669561359236952,0.808029563424565,0.074035516023387,0.368127305103103,0.664360605039255,0.871819151258106,0.928571366644005,0.941044698542716,0.94536845604297,0.940692643261333,0.190077357379197,0.590484040200526,0.885106811260226,0.41848582824188,0.61324918559322,0.791820584502074,0.892438283175469
"27",26,0.448025210929404,0.117206167068803,0.659523676623006,0.801556989879696,0.0700094229664427,0.354726721827375,0.654332746855297,0.867643672167981,0.926558092949704,0.93999592463708,0.944925225305336,0.940857242598335,0.18215955797454,0.578659512569463,0.881313793654867,0.405393441013539,0.602147622851413,0.784916719021149,0.889023656338444
"28",27,0.43466731442667,0.111622158063925,0.649340768426854,0.794921571307536,0.0661866215118895,0.341550268746247,0.644165755129439,0.863353495982736,0.924492687823729,0.938929704538585,0.944478609787028,0.941021413754121,0.174500518720704,0.566744073441405,0.8774128985615,0.392434234724618,0.590939955888507,0.77784813501624,0.885514535587061
"29",28,0.421403628946168,0.106272159937671,0.639020001515016,0.788122929202056,0.062558519140898,0.328614003864253,0.633867052502714,0.858946865939588,0.922374063676127,0.937845791368848,0.944028587076439,0.941185157683712,0.167097713827885,0.554750946357804,0.873402208791304,0.379624807802133,0.579636973633807,0.770615135199534,0.881909193928287
"30",29,0.408252401122299,0.101149388798459,0.628569226578778,0.781160950013949,0.0591167053511829,0.315932611392825,0.623444520852705,0.854422091075605,0.920201125169639,0.936743936310211,0.943575134669641,0.941348475340886,0.159948107164322,0.542693712980068,0.869279850366523,0.366980945463018,0.568249857493067,0.763218324503003,0.878205930052516
"31",30,0.395231242769005,0.0962469637710894,0.617996759973845,0.774035798510503,0.0558529694657595,0.303519361598454,0.612906482273793,0.849777553310564,0.917972770110452,0.935623888650395,0.943118229970973,0.94151136767817,0.15304819872289,0.530586253131449,0.86504399871361,0.354517550896078,0.556790139517015,0.755658622303934,0.874403072789188
"32",31,0.382357041687709,0.0915579425440012,0.607311362193218,0.766747930654522,0.05275931529656,0.291386085911463,0.602261676884331,0.845011714743912,0.915687890402454,0.934485395829976,0.942657850293663,0.941673835646839,0.146394070385819,0.518442681915074,0.860692885107667,0.342248586065073,0.545269657512085,0.747937273860616,0.870498985761557
"33",32,0.369645880861845,0.08707535391467,0.596522213039591,0.759298105888027,0.049827972934588,0.279543166763842,0.591519237541649,0.840123125148489,0.913345373066941,0.933328203492764,0.942193972860461,0.941835880196912,0.139981430652058,0.506277284502197,0.856224803359097,0.330187022468005,0.533700507446178,0.740055860833337,0.866492072237193
"34",33,0.357112966763535,0.0827922273954447,0.585638883603568,0.751687398702996,0.0470514079308946,0.267999541404099,0.58068866158331,0.835110429641031,0.910944101329595,0.932152055539159,0.941726574804293,0.94199750227715,0.133805658038507,0.494104449224121,0.851638116731189,0.318344802016691,0.522094993542798,0.732016310764979,0.862380780169494
"35",34,0.344772567326262,0.0787016199658284,0.574671305194144,0.743917209378778,0.0444223281228489,0.256762718749981,0.569779779750286,0.829972376506717,0.908482955776538,0.930956694182577,0.941255633168948,0.942158702835047,0.127861842911883,0.481938599630162,0.846931265075011,0.306732808035543,0.510465576492141,0.723820905396055,0.85816360742409
"36",35,0.332637959961758,0.0747966400764872,0.563629735407302,0.735989273764505,0.041933688348519,0.245838808188458,0.558802722484092,0.824707825152237,0.905960815581123,0.929741860008997,0.940781124909777,0.942319482816833,0.122144827551514,0.469794126191762,0.842102772165536,0.295360846222755,0.498824820236768,0.715472287691013,0.853839107182528
"37",36,0.320721389824292,0.0710704690254391,0.552524721556665,0.727905671984628,0.0395786932789986,0.235232559117296,0.54776788382461,0.819315754158964,0.903376559803024,0.928507292039737,0.940303026894419,0.942479843167468,0.116649244284516,0.457685318338964,0.837151253220364,0.284237635274105,0.487185337811635,0.706973467456259,0.849405893514056
"38",37,0.30903403835559,0.0675163798383438,0.541367061726034,0.719668835946973,0.0373507985846365,0.224947409943438,0.536685883167735,0.813795269404957,0.900729068761073,0.927252727797519,0.93982131590355,0.942639784830636,0.111369551573079,0.445626297509723,0.832075422579761,0.27337080674182,0.475559736733156,0.698327825435553,0.844862647104683
