"","Score","poor_npl1"
"1",0,0.936485232941706
"2",1,0.930591029170809
"3",2,0.924194117127467
"4",3,0.91726006708379
"5",4,0.909753686787332
"6",5,0.901639333860461
"7",6,0.892881297135159
"8",7,0.883444252066553
"9",8,0.873293793937332
"10",9,0.862397050532738
"11",10,0.850723373263836
"12",11,0.838245102305404
"13",12,0.824938397197516
"14",13,0.810784119599983
"15",14,0.795768749625283
"16",15,0.77988531163637
"17",16,0.763134279905013
"18",17,0.745524429502056
"19",18,0.727073593729753
"20",19,0.707809286851906
"21",20,0.68776915037341
"22",21,0.667001183147027
"23",22,0.645563720486369
"24",23,0.623525135375399
"25",24,0.600963245649875
"26",25,0.577964424237995
"27",26,0.554622424425962
"28",27,0.531036947627451
"29",28,0.50731199606755
"30",29,0.483554065866178
"31",30,0.459870246036415
"32",31,0.436366294951002
"33",32,0.413144767289557
"34",33,0.39030326121672
"35",34,0.367932847876683
"36",35,0.346116733960039
"37",36,0.324929194161584
"38",37,0.304434795041534
"39",38,0.28468791639725
"40",39,0.265732561906285
"41",40,0.247602438449785
"42",41,0.230321273809867
"43",42,0.2139033356808
"44",43,0.198354111167336
"45",44,0.183671104940201
"46",45,0.169844715573288
"47",46,0.156859152786499
"48",47,0.144693362812492
"49",48,0.13332193436419
"50",49,0.122715963233879
"51",50,0.112843859020909
"52",51,0.103672082576789
"53",52,0.0951658072811919
"54",53,0.0872895011120138
"55",54,0.0800074296089013
"56",55,0.0732840822675621
"57",56,0.0670845266942143
"58",57,0.0613746960712307
"59",58,0.0561216162233793
"60",59,0.051293578918478
"61",60,0.0468602680722634
"62",61,0.0427928453323848
"63",62,0.0390640011580093
"64",63,0.0356479770459288
"65",64,0.0325205640267983
"66",65,0.0296590820017107
"67",66,0.0270423439363427
"68",67,0.0246506083965228
"69",68,0.0224655234081522
"70",69,0.0204700641639657
"71",70,0.0186484666837793
"72",71,0.0169861591649668
"73",72,0.0154696924351857
"74",73,0.0140866706376963
"75",74,0.0128256830379512
"76",75,0.0116762376349341
"77",76,0.0106286970882404
"78",77,0.00967421732836272
"79",78,0.00880468909942205
"80",79,0.00801268258728756
"81",80,0.007291395208507
"82",81,0.00663460257391617
"83",82,0.00603661259269241
"84",83,0.00549222264575615
"85",84,0.0049966797298837
"86",85,0.0045456434540161
"87",86,0.00413515175561298
"88",87,0.00376158919630466
"89",88,0.00342165769152299
"90",89,0.00311234952739307
"91",90,0.00283092251923513
"92",91,0.00257487716897622
"93",92,0.00234193568312331
"94",93,0.00213002271831381
"95",94,0.00193724772752006
"96",95,0.00176188878648762
"97",96,0.00160237778673298
"98",97,0.00145728688825659
"99",98,0.00132531613192047
"100",99,0.00120528211810313
"101",100,0.00109610766470959
