"","stable_coef_names","poor_npl1"
"1","hh_consumed151",11
"2","hh_consumed191",9
"3","hh_consumed271",12
"4","hh_consumed291",12
"5","hh_cook1",8
"6","hh_light1",9
"7","hh_purchased111",10
"8","hh_roof1",7
"9","hh_size1",17
"10","hh_size2",10
"11","region1",1
"12","region2",5
"13","region4",2
"14","region5",0
