"","Score","poor_npl1"
"1",0,0.682693627926853
"2",1,0.670931640565189
"3",2,0.65895146465118
"4",3,0.646764762948446
"5",4,0.634384210431298
"6",5,0.621823457143554
"7",6,0.609097081232205
"8",7,0.596220532297017
"9",8,0.58321006536092
"10",9,0.570082665931821
"11",10,0.556855966789898
"12",11,0.543548157291292
"13",12,0.530177886124799
"14",13,0.516764158588578
"15",14,0.503326229565021
"16",15,0.489883493460436
"17",16,0.476455372439284
"18",17,0.463061204318371
"19",18,0.449720131493548
"20",19,0.436450992249818
"21",20,0.423272215756039
"22",21,0.410201721969188
"23",22,0.397256827572818
"24",23,0.384454158953013
"25",24,0.371809573076509
"26",25,0.35933808698376
"27",26,0.347053816449006
"28",27,0.334969924194252
"29",28,0.323098577878763
"30",29,0.311450917924466
"31",30,0.300037035084119
"32",31,0.288865957516562
"33",32,0.277945647004541
"34",33,0.267283003837466
"35",34,0.256883879785587
"36",35,0.246753098514231
"37",36,0.236894482727168
"38",37,0.227310887286661
"39",38,0.218004237533393
"40",39,0.208975572021311
"41",40,0.200225088888815
"42",41,0.191752195107112
"43",42,0.183555557877082
"44",43,0.175633157485721
"45",44,0.167982340980336
"46",45,0.160599876071218
"47",46,0.15348200472991
"48",47,0.146624496008625
"49",48,0.140022697665699
"50",49,0.133671586240618
"51",50,0.127565815279375
"52",51,0.121699761465587
"53",52,0.116067568464425
"54",53,0.11066318833431
"55",54,0.1054804204053
"56",55,0.100512947562797
"57",56,0.0957543699106109
"58",57,0.0911982358185387
"59",58,0.0868380703865353
"60",59,0.0826674013804288
"61",60,0.0786797827132241
"62",61,0.0748688155615704
"63",62,0.0712281672192445
"64",63,0.0677515877988217
"65",64,0.064432924899379
"66",65,0.061266136362393
"67",66,0.0582453012402774
"68",67,0.0553646291025084
"69",68,0.0526184678032966
"70",69,0.0500013098325183
"71",70,0.0475077973683472
"72",71,0.0451327261459291
"73",72,0.0428710482517105
"74",73,0.0407178739478175
"75",74,0.038668472625334
"76",75,0.0367182729795684
"77",76,0.0348628624945317
"78",77,0.0330979863179623
"79",78,0.0314195456024053
"80",79,0.0298235953821351
"81",80,0.0283063420501641
"82",81,0.0268641404942275
"83",82,0.0254934909455171
"84",83,0.0241910355890681
"85",84,0.0229535549801016
"86",85,0.0217779643062899
"87",86,0.0206613095318624
"88",87,0.0196007634556847
"89",88,0.0185936217119334
"90",89,0.017637298738745
"91",90,0.0167293237372232
"92",91,0.0158673366404415
"93",92,0.015049084109565
"94",93,0.0142724155719206
"95",94,0.0135352793137604
"96",95,0.0128357186385731
"97",96,0.01217186810009
"98",97,0.0115419498175967
"99",98,0.0109442698797805
"100",99,0.0103772148421092
"101",100,0.00983924832163686
