"","household_id2","hh_wgt","urban","poor_npl1","pred_score_pr_full"
"1","030611088802207013",11540.9443359375,0,0,0.208975572021311
"2","010105088800204049",3921.96020507812,0,1,0.384454158953013
"3","071401088800402047",352.107818603516,0,0,0.208975572021311
"4","040817088802801122",9607.2412109375,0,0,0.236894482727168
"5","030101088800204132",9197.3388671875,0,1,0.670931640565189
"6","040808010100107032",2271.064453125,1,0,0.0748688155615704
"7","040913088801004076",12414.8798828125,0,0,0.0957543699106109
"8","071111010100401092",2578.56225585938,1,0,0.0500013098325183
"9","070103088800404067",3584.54711914062,0,0,0.0185936217119334
"10","030515088800703136",6841.4658203125,0,0,0.121699761465587
"11","030604088802001055",7353.31396484375,0,1,0.311450917924466
"12","020104088800201155",481.515289306641,0,1,0.218004237533393
"13","120102088800401060",719.368041992188,0,0,0.140022697665699
"14","030701088801406076",7945.5009765625,0,0,0.334969924194252
"15","130101088801405094",183.452667236328,0,0,0.200225088888815
"16","050103088801101002",297.9873046875,0,1,0.288865957516562
"17","010408088800402080",3399.5146484375,0,0,0.0786797827132241
"18","040601088802303126",11347.9404296875,0,1,0.160599876071218
"19","070103088800404199",3584.54711914062,0,1,0.323098577878763
"20","030902088802501002",8625.8544921875,0,0,0.191752195107112
"21","071201088802802047",524.056335449219,0,1,0.570082665931821
"22","030511088800307021",5294.03662109375,0,0,0.0206613095318624
"23","030416088800204003",8303.3232421875,0,1,0.208975572021311
"24","070905088800303092",3045.65356445312,0,0,0.15348200472991
"25","030207088803703019",7644.05078125,0,1,0.449720131493548
"26","070210088801401015",4696.45263671875,0,1,0.570082665931821
"27","030511088800307108",4072.33569335938,0,0,0.175633157485721
"28","041108088801402130",8612.818359375,0,0,0.0677515877988217
"29","010101088801601002",2897.15502929688,0,0,0.323098577878763
"30","071801088802302107",864.749633789062,0,0,0.476455372439284
"31","010106088800402002",3426.1669921875,0,0,0.323098577878763
"32","071704088802501060",1470.876953125,0,0,0.410201721969188
"33","060405088800203362",663.745544433594,0,1,0.556855966789898
"34","040214010200204132",3470.59619140625,1,0,0.167982340980336
"35","150102088803102003",184.297592163086,0,0,0.300037035084119
"36","010105088800204097",3921.96020507812,0,0,0.0826674013804288
"37","071104088801603055",1947.05029296875,0,0,0.682693627926853
"38","072001088801203004",3236.5068359375,0,1,0.246753098514231
"39","072005088800604040",3387.75268554688,0,1,0.300037035084119
"40","070304088800501116",2879.453125,0,1,0.570082665931821
"41","010503088802304112",1060.61352539062,0,0,0.0868380703865353
"42","041216088800101115",7334.26220703125,0,0,0.347053816449006
"43","070703088802101010",2889.43920898438,0,0,0.436450992249818
"44","030703088800105020",8399.9189453125,0,0,0.15348200472991
"45","030703088800105113",8399.9189453125,0,0,0.208975572021311
"46","010501020100105175",2317.76318359375,1,0,0.277945647004541
"47","010502088800712064",413.561126708984,0,0,0.061266136362393
"48","070605088800601165",5351.06494140625,0,0,0.267283003837466
"49","040601088802303050",11347.9404296875,0,1,0.127565815279375
"50","050103088801101040",297.9873046875,0,1,0.200225088888815
"51","010202088800802124",3558.80615234375,0,0,0.246753098514231
"52","071901088800701048",929.551330566406,0,0,0.371809573076509
"53","010102088801403031",2492.767578125,0,0,0.116067568464425
"54","050207088804801133",1186.40051269531,0,0,0.530177886124799
"55","050904088800302004",3452.86206054688,0,0,0.288865957516562
"56","070803088801501034",1543.69860839844,0,0,0.064432924899379
"57","041904088800101125",4982.833984375,0,0,0.100512947562797
"58","030304088800906122",5142.27685546875,0,1,0.670931640565189
"59","050206088803803007",1620.240234375,0,0,0.277945647004541
"60","030602088802603123",9933.0048828125,0,0,0.208975572021311
"61","041016088800104040",5972.0390625,1,0,0.0254934909455171
"62","040401088801103128",14833.2236328125,0,0,0.347053816449006
"63","040204088801105022",7666.9296875,0,1,0.410201721969188
"64","031004088800408183",3276.11987304688,0,1,0.311450917924466
"65","030411088800903055",8467.4150390625,0,0,0.0500013098325183
"66","070105088802502079",4376.744140625,0,0,0.311450917924466
"67","041005088800403077",14199.263671875,0,0,0.183555557877082
"68","030504088800305111",7241.4794921875,0,0,0.323098577878763
"69","030511088800307166",5294.03662109375,0,0,0.15348200472991
"70","031002088801601049",2748.33666992188,0,1,0.191752195107112
"71","030901088801202026",4374.0234375,0,0,0.140022697665699
"72","030704088801302017",5776.54296875,0,0,0.140022697665699
"73","040113088800501032",9507.2978515625,0,0,0.116067568464425
"74","070202088801001033",6878.13818359375,0,0,0.410201721969188
"75","010503088801501372",5225.15380859375,0,0,0.0826674013804288
"76","031201088800303112",253.910614013672,0,0,0.556855966789898
"77","150102088802404016",376.618011474609,0,0,0.246753098514231
"78","150102088803102012",184.297592163086,0,0,0.288865957516562
"79","130101088800102040",210.573791503906,0,0,0.146624496008625
"80","040910088801104106",12500.814453125,0,0,0.0712281672192445
"81","071301088802505001",1060.84753417969,0,0,0.463061204318371
"82","031004010100103032",2973.0654296875,1,0,0.0451327261459291
"83","010303088800605131",2445.58471679688,0,0,0.127565815279375
"84","030501088801504004",6536.767578125,0,0,0.0526184678032966
"85","030511088800307144",5294.03662109375,0,0,0.218004237533393
"86","030713088801304078",7887.3623046875,0,0,0.227310887286661
"87","070210088801401165",4696.45263671875,0,0,0.127565815279375
"88","010501020100105127",2317.76318359375,1,0,0.127565815279375
"89","010105088800204001",3921.96020507812,0,0,0.323098577878763
"90","040508088803103130",32753.236328125,0,0,0.064432924899379
"91","010103088801804145",3971.76220703125,0,1,0.410201721969188
"92","030307088801002022",6107.38427734375,0,1,0.0786797827132241
"93","040513088802405183",22068.86328125,0,0,0.100512947562797
"94","050104088801701055",357.167083740234,0,1,0.288865957516562
"95","010103088801804115",3971.76220703125,0,1,0.300037035084119
"96","071104088801603031",1947.05029296875,0,0,0.436450992249818
"97","030403088801401140",10250.4267578125,0,1,0.183555557877082
"98","010208088800603140",2757.5478515625,0,1,0.267283003837466
"99","031201088800101118",259.194061279297,0,0,0.463061204318371
"100","071702088800803075",1871.20251464844,0,1,0.323098577878763
"101","041402088802701122",8267.568359375,0,1,0.621823457143554
"102","030305088801101087",4724.1357421875,0,1,0.256883879785587
"103","010502088800712091",413.561126708984,0,0,0.200225088888815
"104","010404088800103047",1680.24951171875,0,0,0.384454158953013
"105","040401088801103058",14833.2236328125,0,0,0.0428710482517105
"106","010307088800116028",2226.82373046875,1,0,0.0500013098325183
"107","071012088802901044",3975.59814453125,0,1,0.347053816449006
"108","040605088801004048",14205.49609375,0,0,0.121699761465587
"109","040106088801302169",4319.7275390625,0,1,0.288865957516562
"110","041712088800807093",10119.947265625,0,1,0.489883493460436
"111","030108088800701020",8636.6396484375,0,0,0.121699761465587
"112","150102088800704110",273.377105712891,0,0,0.246753098514231
"113","030713088801304168",7887.3623046875,0,1,0.463061204318371
"114","071901088800701078",929.551330566406,0,1,0.334969924194252
"115","040707088802702081",8072.98291015625,0,1,0.288865957516562
"116","030304088800906059",12669.3779296875,0,1,0.347053816449006
"117","150102088802404024",376.618011474609,0,0,0.300037035084119
"118","150102088801201075",272.025665283203,0,0,0.236894482727168
"119","010208088800603049",2757.5478515625,0,0,0.246753098514231
"120","070607088800601033",4166.9375,0,0,0.463061204318371
"121","041402088802701032",8267.568359375,0,1,0.397256827572818
"122","130101088800905049",318.431823730469,0,0,0.146624496008625
"123","040817088802801092",9607.2412109375,0,0,0.11066318833431
"124","010305088801202001",1774.88024902344,0,1,0.267283003837466
"125","040817088802801017",9607.2412109375,0,0,0.160599876071218
"126","130101088801304059",122.578491210938,0,0,0.175633157485721
"127","070115010100108165",5242.51416015625,1,0,0.0526184678032966
"128","150102088801201130",272.025665283203,0,0,0.227310887286661
"129","041112088800402044",7483.08740234375,0,0,0.1054804204053
"130","071105088802003075",1633.91528320312,0,0,0.449720131493548
"131","040825010100102027",13298.0400390625,1,0,0.0367182729795684
"132","040513088802405165",22068.86328125,0,0,0.100512947562797
"133","030204088800906078",2429.03369140625,0,1,0.423272215756039
"134","071501088804404227",1436.97644042969,0,1,0.556855966789898
"135","071701088800103164",441.780029296875,0,0,0.436450992249818
"136","071103088801302171",2423.53198242188,0,0,0.288865957516562
"137","060207088801002156",2358.94262695312,0,1,0.410201721969188
"138","041402088802701062",8267.568359375,0,1,0.463061204318371
"139","070907088801501107",4621.26416015625,0,0,0.347053816449006
"140","010208088800603004",2757.5478515625,0,1,0.503326229565021
"141","060201088800802133",2400.23022460938,0,0,0.133671586240618
"142","070202088801001013",6878.13818359375,0,0,0.183555557877082
"143","130101088801304113",122.578491210938,0,0,0.146624496008625
"144","031004010100103082",2973.0654296875,1,1,0.0786797827132241
"145","130101088800405165",163.318771362305,0,0,0.227310887286661
"146","130101088800905139",318.431823730469,0,0,0.146624496008625
"147","031201088800303056",253.910614013672,0,1,0.670931640565189
"148","070306088800204022",2306.56176757812,0,0,0.347053816449006
"149","030112088800203075",8908.4228515625,0,1,0.556855966789898
"150","041216088800101103",7334.26220703125,0,0,0.256883879785587
"151","010305088801202152",1774.88024902344,0,1,0.267283003837466
"152","030704088801302129",5776.54296875,0,0,0.334969924194252
"153","071108088800501002",2132.11499023438,0,0,0.1054804204053
"154","041104088801304185",6767.27978515625,0,0,0.288865957516562
"155","030504088800305126",7241.4794921875,0,0,0.183555557877082
"156","072008088800805028",3701.30029296875,0,0,0.11066318833431
"157","050204088808901005",3159.33374023438,0,0,0.191752195107112
"158","070905088800303122",3045.65356445312,0,0,0.218004237533393
"159","020103088800102117",86.379264831543,0,0,0.140022697665699
"160","070902088800503032",3680.07641601562,0,0,0.35933808698376
"161","071801088802302016",864.749633789062,0,1,0.463061204318371
"162","030710088801703002",12702.48828125,0,0,0.347053816449006
"163","041901088800103002",3895.69604492188,0,0,0.064432924899379
"164","150102088802801097",374.075500488281,0,0,0.300037035084119
"165","072005088800604016",3387.75268554688,0,1,0.311450917924466
"166","030308088801617018",5348.39794921875,0,0,0.0748688155615704
"167","010201088800207017",3320.48193359375,0,1,0.503326229565021
"168","030905088801102079",5463.38330078125,0,0,0.334969924194252
"169","030101088800204168",9197.3388671875,0,1,0.670931640565189
"170","050103088801101052",297.9873046875,0,0,0.410201721969188
"171","071012088802901172",3975.59814453125,0,1,0.570082665931821
"172","070205088801302056",4728.34326171875,0,1,0.347053816449006
"173","020104088800201119",481.515289306641,0,0,0.288865957516562
"174","050206088803803033",1620.240234375,0,0,0.0868380703865353
"175","030307088801002062",6107.38427734375,0,1,0.0451327261459291
"176","040601088802303020",11347.9404296875,0,0,0.160599876071218
"177","070210088801401075",4696.45263671875,0,0,0.288865957516562
"178","070210088801401093",4696.45263671875,0,0,0.288865957516562
"179","041703088801901005",9097.5556640625,0,0,0.288865957516562
"180","150102088801201039",272.025665283203,0,0,0.476455372439284
"181","050904088800302010",3452.86206054688,0,0,0.218004237533393
"182","031001088801106077",3001.5625,0,1,0.218004237533393
"183","041703088801901198",9097.5556640625,0,0,0.160599876071218
"184","060608088800402061",759.726989746094,0,0,0.140022697665699
"185","130101088801103078",176.022750854492,0,0,0.1054804204053
"186","030411088800903121",8467.4150390625,0,0,0.311450917924466
"187","041703088801901258",702.513916015625,0,1,0.334969924194252
"188","040704088801002074",8271.7236328125,0,0,0.0582453012402774
"189","031004010100103014",2973.0654296875,1,1,0.0786797827132241
"190","030304088800906110",5142.27685546875,0,0,0.0677515877988217
"191","030110088801806040",7237.576171875,0,1,0.410201721969188
"192","050206088803803027",1620.240234375,0,0,0.288865957516562
"193","040901088800304099",13522.181640625,0,0,0.116067568464425
"194","010405088800701135",2148.28833007812,0,0,0.0957543699106109
"195","070801088800401127",1221.73303222656,0,0,0.436450992249818
"196","041005088800403137",14199.263671875,0,0,0.200225088888815
"197","030507088801204079",3951.26293945312,0,0,0.246753098514231
"198","030305088801101130",4724.1357421875,0,1,0.191752195107112
"199","040106088801302043",4319.7275390625,0,1,0.175633157485721
"200","040412010100104063",6167.39892578125,1,0,0.160599876071218
"201","041009088803605024",15875.5830078125,0,1,0.183555557877082
"202","070607088800601108",4166.9375,0,0,0.347053816449006
"203","071003088801001028",5229.85009765625,0,1,0.476455372439284
"204","040410088800701149",14221.8798828125,0,1,0.410201721969188
"205","070306088800204004",2306.56176757812,0,0,0.410201721969188
"206","030604088802001013",7353.31396484375,0,0,0.146624496008625
"207","040817088802801137",9607.2412109375,0,0,0.175633157485721
"208","071702088800803063",1871.20251464844,0,1,0.596220532297017
"209","071401088800402089",352.107818603516,0,0,0.140022697665699
"210","030104088800901223",8108.21533203125,0,0,0.449720131493548
"211","040608088801902062",14293.9609375,0,0,0.0348628624945317
"212","150102088802801049",374.075500488281,0,0,0.1054804204053
"213","072005088800604076",3387.75268554688,0,0,0.208975572021311
"214","031002088801601096",2748.33666992188,0,1,0.208975572021311
"215","071801088800101037",714.294006347656,0,1,0.682693627926853
"216","041703088801901149",9097.5556640625,0,0,0.256883879785587
"217","030609088801807096",10335.60546875,0,0,0.191752195107112
"218","070302088800501127",2365.28662109375,0,0,0.0475077973683472
"219","071105088802003147",1633.91528320312,0,0,0.347053816449006
"220","150102088801002088",352.391265869141,0,0,0.436450992249818
"221","030201088800703019",8644.3046875,0,1,0.397256827572818
"222","041306088800204095",7094.3955078125,0,0,0.0677515877988217
"223","150102088802801112",374.075500488281,0,0,0.146624496008625
"224","041904088800101034",4982.833984375,0,0,0.267283003837466
"225","040106088801302022",4319.7275390625,0,0,0.267283003837466
