unique_q_number,variable_name
1,region1
1,region2
1,region4
1,region5
2,hh_size1
2,hh_size2
3,hhead_readwrite1
4,hhead_attended1
5,hhead_maxgrade1
6,consumed181
7,consumed201
8,purchased071
9,purchase061
10,hh_roof1
11,hh_kitchen1
12,hh_toilet1
13,hh_toiletshared1
13,hh_toiletshared2
14,hh_disposal1
15,hh_light1
16,hh_cook1
17,hmany041
17,hmany042
18,hmany051
18,hmany052
19,hmany061
20,hmany091
21,hmany311
