"holder_id","household_id","household_id2","rural","pw_w3","ea_id","saq01","saq02","saq03","saq04","saq05","saq06","ph_saq07","crop_name","crop_code","ph_s11q01","ph_s11q01b_1","ph_s11q01b_2","ph_s11q01c_1","ph_s11q01c_2","ph_s11q02_a","ph_s11q02_b","ph_s11q03_a","ph_s11q03_b","ph_s11q04","ph_s11q05_a","ph_s11q05_b","ph_s11q06_a","ph_s11q06_b","ph_s11q07","ph_s11q08","ph_s11q09","ph_s11q10a_1","ph_s11q10a_2","ph_s11q10_1","ph_s11q10_2","ph_s11q11_1","ph_s11q11_2","ph_s11q12_1","ph_s11q12_2","ph_s11q14_1","ph_s11q14_2","ph_s11q15_1","ph_s11q15_2","ph_s11q15_4","ph_s11q16_a","ph_s11q16_b","ph_s11q17","ph_s11q18","ph_s11q18_others","ph_s11q19_a","ph_s11q19_b","ph_s11q20_a","ph_s11q20_b","ph_s11q21_a","ph_s11q21_b","ph_s11q22_a","ph_s11q22_b","ph_s11q22_c","ph_s11q22_d","ph_s11q22_e","ph_s11q22_f","ph_s11q22_g","obs"
"0101010160113102","01010101601131","010101088801601131",1,2897.15502929688,"01010101601",1,1,1,16,1,131,2,"MAIZE",2,2,,,,,,,,,,,,,,,,,25,1,0,,0,,0,,2,181,0,,0,,,1,3,,74,1,1,,1,3,89,0,5,1,0,5,100,2
"0101010160113102","01010101601131","010101088801601131",1,2897.15502929688,"01010101601",1,1,1,16,1,131,2,"MILLET",3,2,,,,,,,,,,,,,,,,,1,3,0,,0,,0,,50,1,0,,0,,,1,3,,4.5,3,4,,1,3,91,1,2,2,2,2,100,3
"0101010160113102","01010101601131","010101088801601131",1,2897.15502929688,"01010101601",1,1,1,16,1,131,2,"SORGHUM",6,1,2,4,6,7,"N01",,5,3,2880,2,,5,2008,3,6,0,4,3,0,,0,,1,3,50,1,50,1,1,3,,1,3,,12,3,1,,1,3,60,5,2,5,25,3,100,1
"0101010160114601","01010101601146","010101088801601146",1,2897.15502929688,"01010101601",1,1,1,16,1,146,1,"MAIZE",2,2,,,,,,,,,,,,,,,,,30,1,0,,0,,0,,4,1,0,,0,,,1,3,,6,1,4,,3,,90,0,0,10,0,0,100,1
"0101010160114601","01010101601146","010101088801601146",1,2897.15502929688,"01010101601",1,1,1,16,1,146,1,"MILLET",3,2,,,,,,,,,,,,,,,,,25,1,0,,0,,0,,6,1,0,,0,,,1,3,,19,1,4,,1,3,95,0,0,5,0,0,100,3
"0101010160114601","01010101601146","010101088801601146",1,2897.15502929688,"01010101601",1,1,1,16,1,146,1,"SORGHUM",6,1,1,3,1,,"N01",,60,1,295,1,3,5,2008,3,1,0,150,1,0,,15,1,0,,25,1,0,,0,,,1,3,,5.5,3,4,,1,2,75,0,0,1,24,0,100,2
"0101010160114601","01010101601146","010101088801601146",1,2897.15502929688,"01010101601",1,1,1,16,1,146,1,"SESAME",27,1,1,3,1,,"N01",,75,1,1242,1,3,4,2008,27,4,1,0,,0,,0,,6,1,6,1,0,,0,,,1,3,,6,1,4,,2,,0,0,0,1,99,0,100,4
"0101020140300101","01010201403001","010102088801403001",1,2492.767578125,"01010201403",1,1,2,14,3,1,1,"BARLEY",1,2,,,,,,,,,,,,,,,,,2,183,0,,0,,0,,0,,0,,0,,,2,,,,,,,1,,100,0,0,0,0,0,100,4
"0101020140300101","01010201403001","010102088801403001",1,2492.767578125,"01010201403",1,1,2,14,3,1,1,"MAIZE",2,2,,,,,,,,,,,,,,,,,2,53,0,,0,,0,,0.5,53,0,,0,,,1,6,,1.5,53,4,,1,,95,0,0,5,0,0,100,1
"0101020140300101","01010201403001","010102088801403001",1,2492.767578125,"01010201403",1,1,2,14,3,1,1,"MILLET",3,2,,,,,,,,,,,,,,,,,1,53,0,,0,,0,,1,53,0,,0,,,1,6,,3,53,4,,1,,50,0,0,20,10,20,100,2
