"holder_id","household_id","household_id2","rural","pw_w3","parcel_id","field_id","crop_code","ea_id","saq01","saq02","saq03","saq04","saq05","saq06","ph_saq07","ph_s9q00","ph_s9q0a","ph_s9q01_a","ph_s9q01_b","ph_s9q02_a","ph_s9q02_b","ph_s9q03_a","ph_s9q03_b","ph_s9q04_a","ph_s9q04_b","ph_s9q05_a","ph_s9q05_b","obs"
"0101020140303601","01010201403036","010102088801403036",1,2492.767578125,1,2,2,"01010201403",1,1,2,14,3,36,1,1,2,"MAIZE",2,12,2,3,200,27,2,3,150,1
"0101020140303601","01010201403036","010102088801403036",1,2492.767578125,2,1,3,"01010201403",1,1,2,14,3,36,1,2,1,"MILLET",3,7,3,0,590,22,3,0,560,2
"0101020140303601","01010201403036","010102088801403036",1,2492.767578125,4,1,13,"01010201403",1,1,2,14,3,36,1,4,1,"HORSE BEANS",13,9,3,0,570,24,3,0,550,5
"0101020140303601","01010201403036","010102088801403036",1,2492.767578125,4,2,1,"01010201403",1,1,2,14,3,36,1,4,2,"BARLEY",1,14,2,0,850,29,2,0,800,3
"0101020140303601","01010201403036","010102088801403036",1,2492.767578125,4,7,23,"01010201403",1,1,2,14,3,36,1,4,7,"LINESEED",23,18,2,0,350,3,3,0,340,4
"0101020140303601","01010201403036","010102088801403036",1,2492.767578125,4,8,23,"01010201403",1,1,2,14,3,36,1,4,8,"LINESEED",23,18,2,0,150,3,3,0,130,6
"0101020140304601","01010201403046","010102088801403046",1,2492.767578125,1,4,13,"01010201403",1,1,2,14,3,46,1,1,4,"HORSE BEANS",13,15,2,0,840,30,2,0,820,2
"0101020140304601","01010201403046","010102088801403046",1,2492.767578125,1,9,12,"01010201403",1,1,2,14,3,46,1,1,9,"HARICOT BEANS",12,15,2,1,0,30,2,1,0,3
"0101020140304601","01010201403046","010102088801403046",1,2492.767578125,3,1,7,"01010201403",1,1,2,14,3,46,1,3,1,"TEFF",7,10,3,1,600,25,3,1,590,1
"0101020140306101","01010201403061","010102088801403061",1,2492.767578125,1,6,1,"01010201403",1,1,2,14,3,61,1,1,6,"BARLEY",1,7,2,1,500,22,2,1,450,2
"0101020140306101","01010201403061","010102088801403061",1,2492.767578125,3,1,7,"01010201403",1,1,2,14,3,61,1,3,1,"TEFF",7,11,3,1,500,26,3,1,590,1
"0101020140306101","01010201403061","010102088801403061",1,2492.767578125,6,1,1,"01010201403",1,1,2,14,3,61,1,6,1,"BARLEY",1,24,2,0,590,9,3,0,550,5
"0101020140306101","01010201403061","010102088801403061",1,2492.767578125,6,2,13,"01010201403",1,1,2,14,3,61,1,6,2,"HORSE BEANS",13,24,2,0,660,9,3,0,650,6
