"","Score","poor_npl1","poor_npl2","poor_150npl1","poor_200npl1","poor_2011_100","poor_2011_190","poor_2011_320","poor_2011_550","poor_2011_800","poor_2011_1100","poor_2011_1500","poor_2011_2170","poor_2005_125","poor_2005_250","poor_2005_500","poor_bottom_20","poor_bottom_40","poor_bottom_60","poor_bottom_80"
"1",0,0.731540202155686,0.375098308247111,0.84837797615313,0.910969886942723,0.269993154043259,0.676679370384073,0.842774641287203,0.94238340180923,0.960040172964757,0.956920122517161,0.948752220916895,0.932787186380051,0.524379944550553,0.807372869450827,0.947876661668472,0.702246855325549,0.822606346058296,0.900850337586996,0.94860188920056
"2",1,0.721278207405112,0.361825447079191,0.842661922205782,0.907728669791477,0.258173823383184,0.664462484117538,0.836848311600285,0.940396753998637,0.958922062508536,0.956213464942798,0.948428059639005,0.932996517059841,0.510740345263729,0.800026568476373,0.946062468483632,0.691277429928484,0.816062988430176,0.897235810244211,0.946898508035353
"3",2,0.710779030536466,0.34876012699451,0.836771837302111,0.904381838928599,0.246697048802197,0.652021361828783,0.830743461930791,0.938346087162032,0.957774042411928,0.955495754863336,0.948101960082279,0.933205242475113,0.497084734868533,0.792472113455193,0.944188848852845,0.680087982854568,0.809334214715283,0.893505091494246,0.945141939857706
"4",3,0.700048830201192,0.335918255117867,0.830705551533974,0.900926862614137,0.235568448759488,0.639369308359515,0.824458096817862,0.936229650948044,0.956595390434144,0.954766837209157,0.94777391207923,0.933413364085443,0.483433472245209,0.7847090705229,0.942254118171908,0.668687353969959,0.802418886377256,0.88965559052973,0.943330742871862
"5",4,0.689094667979871,0.323314485708318,0.824461110744152,0.897361215477733,0.224792058478302,0.626520738637223,0.817990461683653,0.934045668952741,0.955385371295627,0.954026555322925,0.947443905427116,0.933620883348707,0.469806890366681,0.77673744612762,0.940256562530594,0.657085299276769,0.795316175430636,0.885684743341023,0.941463450872143
"6",5,0.677924512292675,0.310962175502793,0.818036795486577,0.89368238438076,0.214370401423928,0.613491128313005,0.811339062642173,0.931792339961914,0.954143236700739,0.953274750963565,0.947111929888054,0.933827801721066,0.456225175373416,0.768557711302807,0.938194439579022,0.645292474424598,0.788025584389132,0.881590020256799,0.939538573870078
"7",6,0.666547235517444,0.298873352950695,0.811431140191569,0.889887874671598,0.204304569802106,0.600296952850737,0.804502686403407,0.929467839340887,0.952868225379163,0.952511264311128,0.946777975189152,0.934034120656963,0.442708247500343,0.760170824820512,0.93606597952239,0.633320410374052,0.780546965827395,0.877368933917719,0.937554598814149
"8",7,0.654972603953308,0.287058700994159,0.804642952422757,0.885975216838871,0.194594312243544,0.586955615361122,0.797480420142136,0.927070320579425,0.951559563147155,0.95173593397256,0.946442031022633,0.934239841609107,0.429275645340411,0.75157825495123,0.933869386251553,0.621181481102131,0.772880541385887,0.873019047680834,0.935509990407402
"9",8,0.643211260349001,0.275527552841805,0.797671332101029,0.881941973565438,0.185238126900149,0.573485363681255,0.790271671189284,0.924597916999275,0.950216462989873,0.950948596988403,0.946104087045969,0.934444966028463,0.41594641485783,0.742781999548648,0.931602838617018,0.60888886335273,0.76502692003932,0.868537984449312,0.933403192028255
"10",9,0.631274698807288,0.264287900003736,0.790515690559889,0.877785747183678,0.176233358270302,0.559905197406469,0.78287618639258,0.922048743631881,0.948838125166017,0.950149088840476,0.945764132882021,0.934649495364246,0.402739004463242,0.733784604173187,0.929264491854033,0.59645648855552,0.756987115441404,0.863923435918696,0.931232626759907
