"","hh_id","hh_weight","urban","poor_npl1","pred_score_pr_full"
"1",7200101203016,3236.5068359375,0,0,0.109507422216741
"2",14040100822163,4288.7802734375,1,0,0.0568561301025455
"3",7101202901148,3975.59814453125,0,0,0.365600192323671
"4",12030240301110,458.756195068359,0,1,0.182173779068842
"5",4070401002002,8271.7236328125,0,0,0.121642880258756
"6",14010300301151,3813.03247070312,1,0,0.0792749975948967
"7",3061601207001,8455.56640625,0,0,0.191192611506011
"8",5090400101245,956.449768066406,1,0,0.35193411871928
"9",3010800701110,8636.6396484375,0,0,0.0635733958646209
"10",5020603803033,1620.240234375,0,0,0.128134536440523
"11",5020600202028,2427.87622070312,1,0,0.0382518632062375
"12",15010201605096,362.532592773438,0,0,0.422260281198631
"13",3060202603078,9933.0048828125,0,1,0.182173779068842
"14",4070401002050,8271.7236328125,0,0,0.252405599900413
"15",3051500703154,6841.4658203125,0,0,0.299813562391311
"16",7221900636131,791.675476074219,1,0,0.0508101101760958
"17",14080100129037,2428.1123046875,1,0,0.134919415453446
"18",4091001104155,12500.814453125,0,1,0.325333630444357
"19",3041800807009,1804.19555664062,1,0,0.0241309010396795
"20",5020600901016,1237.97131347656,0,0,0.182173779068842
"21",1020700101117,2459.8681640625,1,0,0.0837211387414344
"22",3020900104020,2174.17553710938,1,0,0.0750456368985079
"23",3020703703019,7644.05078125,0,1,0.312431448978128
"24",3041600204137,8303.3232421875,0,1,0.466233110506826
"25",7050500304164,3564.400390625,0,1,0.173489123021273
"26",3040600801016,10324.451171875,0,0,0.165134886872908
"27",4150100115237,5901.02197265625,1,0,0.0270929102052507
"28",3060202603017,9933.0048828125,0,1,0.210243096107187
"29",2010500404007,3637.67993164062,0,0,0.109507422216741
"30",3041402101147,7452.26513671875,0,0,0.210243096107187
"31",3010900112083,4784.68994140625,1,0,0.0601270190686743
"32",7140100402196,352.107818603516,0,0,0.182173779068842
"33",3060202603031,666.238037109375,0,0,0.338506306399831
"34",7221900219081,867.316589355469,1,0,0.0601270190686743
"35",4060102303111,11347.9404296875,0,0,0.134919415453446
"36",4140900501157,6370.34521484375,0,1,0.422260281198631
"37",5020600310058,1764.84936523438,1,1,0.220277262147605
"38",3040301401035,10250.4267578125,0,1,0.451482437620592
"39",5020600901112,1237.97131347656,0,0,0.312431448978128
"40",12030240301042,458.756195068359,0,1,0.173489123021273
"41",1021200416016,2164.1845703125,1,0,0.0635733958646209
"42",4111800102043,3380.72338867188,1,0,0.252405599900413
"43",13010100405002,163.318771362305,0,1,0.128134536440523
"44",4190800704142,5205.2216796875,0,0,0.0635733958646209
"45",3050800106013,3997.50903320312,1,0,0.0710245090057117
"46",4150101124117,1921.24084472656,1,0,0.0227707467364513
"47",7170200803063,1871.20251464844,0,1,0.717905347795533
"48",4041000701002,14221.8798828125,0,0,0.103847064608836
"49",6030100301040,2146.224609375,0,0,0.466233110506826
"50",4150100331026,2936.17114257812,1,0,0.014279899746449
"51",1060103701098,746.466796875,1,0,0.0601270190686743
"52",5020600310074,1764.84936523438,1,1,0.165134886872908
"53",5020201001078,1808.38513183594,0,0,0.109507422216741
"54",3070800211073,6989.626953125,1,0,0.121642880258756
"55",3080400503125,2742.36865234375,0,1,0.35193411871928
"56",7101202901172,3975.59814453125,0,1,0.481043066630644
"57",7120100102191,44.347339630127,0,0,0.121642880258756
"58",2010500404028,3637.67993164062,0,0,0.230650461122524
"59",7170301401018,750.913024902344,0,0,0.612734250019717
"60",4090100304125,4225.681640625,0,0,0.0750456368985079
"61",3070300105059,8399.9189453125,0,0,0.312431448978128
"62",7210103003004,2024.294921875,0,1,0.451482437620592
"63",2010300204158,3111.69189453125,1,0,0.0508101101760958
"64",3110100318145,1865.72045898438,1,0,0.0428710395500606
"65",1020200107047,1781.97839355469,1,0,0.0341126456974617
"66",15010100613085,593.940673828125,1,0,0.0304071699671722
"67",3011100102195,3666.060546875,1,0,0.0453760853187189
"68",7030600204058,2306.56176757812,0,1,0.365600192323671
"69",4190800704097,5205.2216796875,0,0,0.0984469410298499
"70",1030400101077,2738.3125,0,0,0.128134536440523
"71",13010101304004,122.578491210938,0,0,0.149398532201863
"72",7160101705034,1543.59301757812,0,1,0.407837830139413
"73",4120602801027,3872.81713867188,0,1,0.338506306399831
"74",12030240301002,458.756195068359,0,1,0.325333630444357
"75",4071300209165,6087.0419921875,1,0,0.0508101101760958
"76",3070101406016,7945.5009765625,0,1,0.173489123021273
"77",5020600901040,1237.97131347656,0,0,0.128134536440523
"78",4170301901222,702.513916015625,0,0,0.252405599900413
"79",13010100102132,210.573791503906,0,0,0.0508101101760958
"80",7030600204113,2306.56176757812,0,1,0.220277262147605
"81",7011202605019,5791.6826171875,0,0,0.149398532201863
"82",15010100253125,1589.76953125,1,0,0.0322084331646346
"83",12010200901003,512.643493652344,0,0,0.43681653008148
"84",3030900308022,3080.03662109375,1,0,0.0568561301025455
"85",3020900708066,365.547882080078,0,0,0.210243096107187
"86",13010100303130,899.811157226562,1,1,0.128134536440523
"87",3012000105112,3041.9384765625,1,0,0.0537529999302516
"88",4140900501178,6370.34521484375,0,1,0.407837830139413
"89",3030202104032,7683.822265625,0,0,0.338506306399831
"90",3050101504026,6536.767578125,0,0,0.365600192323671
"91",5010202401240,145.579010009766,0,0,0.173489123021273
"92",7011202605139,5791.6826171875,0,1,0.598546091587627
"93",4160101109001,948.273254394531,1,0,0.0792749975948967
"94",2030400601160,165.067398071289,0,0,0.0508101101760958
"95",2010300204070,3111.69189453125,1,0,0.0404984211701228
"96",3030100204040,6068.82958984375,0,0,0.598546091587627
"97",14020200810125,3206.93359375,1,0,0.0322084331646346
"98",3020400906093,2429.03369140625,0,1,0.128134536440523
"99",7041700202045,12057.189453125,0,0,0.048020162430788
"100",3010400901199,8108.21533203125,0,1,0.555071346274374
"101",4130600204023,7094.3955078125,0,0,0.128134536440523
"102",3090203201063,244.923217773438,0,0,0.275477962944394
"103",1040800402173,3399.5146484375,0,0,0.312431448978128
"104",4080600802151,8614.1142578125,0,0,0.115436564602073
"105",4021400204084,3470.59619140625,1,0,0.014279899746449
"106",7101202901020,3975.59814453125,0,1,0.365600192323671
"107",5020600901058,1237.97131347656,0,1,0.379486193735871
"108",7130101301111,1553.13659667969,0,1,0.525568675069212
"109",4010601302064,4319.7275390625,0,0,0.0984469410298499
"110",1020301001097,1126.91821289062,0,0,0.109507422216741
"111",4060102303066,11347.9404296875,0,0,0.481043066630644
"112",7200500604040,3387.75268554688,0,1,0.263779933900726
"113",5010301101015,43.821662902832,0,0,0.555071346274374
"114",14080100129028,2428.1123046875,1,0,0.134919415453446
"115",7210106202041,1436.28723144531,0,1,0.525568675069212
"116",7041000105114,2363.13793945312,1,0,0.103847064608836
"117",7021001401129,4696.45263671875,0,0,0.525568675069212
"118",1020601301033,3835.10131835938,0,0,0.191192611506011
"119",4030201803002,1450.25598144531,0,0,0.0537529999302516
"120",7130102505121,1060.84753417969,0,1,0.407837830139413
"121",1060100224194,1241.28869628906,1,0,0.0404984211701228
"122",14060800822141,3760.16137695312,1,0,0.0170184648228606
"123",7110800501087,2132.11499023438,0,1,0.584190873362592
"124",7130101301003,1553.13659667969,0,1,0.393572407491677
"125",3030202104078,7683.822265625,0,1,0.466233110506826
"126",3060901807043,10335.60546875,0,0,0.121642880258756
"127",7060500601021,5351.06494140625,0,0,0.312431448978128
"128",4150100524034,2154.63891601562,1,0,0.0984469410298499
"129",4140202701027,8267.568359375,0,1,0.393572407491677
"130",3020202508005,6181.556640625,0,1,0.365600192323671
"131",14010300301007,3813.03247070312,1,0,0.0710245090057117
"132",3020501907143,6558.95263671875,0,0,0.407837830139413
"133",13010101304041,122.578491210938,0,0,0.149398532201863
"134",12010200901161,169.937072753906,0,1,0.654085910694104
"135",4130600204113,7094.3955078125,0,0,0.0537529999302516
"136",14030400252038,3799.77465820312,1,0,0.0322084331646346
"137",4190400101045,278.37060546875,0,1,0.252405599900413
"138",7021001401021,4696.45263671875,0,1,0.525568675069212
"139",3041200105112,3101.9599609375,1,0,0.0672031884080853
"140",7120101602021,596.91943359375,0,1,0.422260281198631
"141",3012000105188,3041.9384765625,1,0,0.0255701749319153
"142",4120602801069,3872.81713867188,0,0,0.191192611506011
"143",3011801204046,1864.86059570312,1,0,0.115436564602073
"144",7040601903075,15017.6044921875,0,0,0.312431448978128
"145",13010100303018,899.811157226562,1,0,0.0382518632062375
"146",1020301001080,3237.32836914062,0,1,0.287492189927297
"147",7090200503027,3680.07641601562,0,1,0.191192611506011
"148",7050302201037,4547.63330078125,0,0,0.241360939471417
"149",13010100601021,162.556030273438,0,0,0.182173779068842
"150",4171100511149,1226.3798828125,1,0,0.0508101101760958
"151",7061000902112,3937.53784179688,0,1,0.56969137417668
"152",7061000902040,3937.53784179688,0,0,0.56969137417668
"153",7170402501078,1470.876953125,0,0,0.407837830139413
"154",13010101902124,1057.05322265625,1,0,0.0382518632062375
"155",3060400202299,15901.16015625,1,0,0.0453760853187189
"156",1030900101121,1902.123046875,1,0,0.128134536440523
"157",7040101103074,17594.1875,0,0,0.275477962944394
"158",4101302203171,13077.4228515625,0,0,0.0635733958646209
