"","Score","poor_npl1"
"1",0,0.845402839073309
"2",1,0.837485603869408
"3",2,0.829244805640813
"4",3,0.820675608539913
"5",4,0.811773985930361
"6",5,0.802536808438353
"7",6,0.792961932108536
"8",7,0.783048285542335
"9",8,0.772795954777015
"10",9,0.762206264556092
"11",10,0.75128185455057
"12",11,0.740026749021104
"13",12,0.728446418368461
"14",13,0.716547831008608
"15",14,0.704339494033798
"16",15,0.691831481185828
"17",16,0.679035446775099
"18",17,0.665964624330651
"19",18,0.652633808962083
"20",19,0.639059322652511
"21",20,0.625258961979179
"22",21,0.611251928069512
"23",22,0.597058738938522
"24",23,0.582701124709462
"25",24,0.568201906583689
"26",25,0.553584860786428
"27",26,0.538874569060947
"28",27,0.524096257602683
"29",28,0.509275626605814
"30",29,0.494438672827319
"31",30,0.479611507749086
"32",31,0.464820174030284
"33",32,0.45009046298585
"34",33,0.435447735800736
"35",34,0.420916751094639
"36",35,0.406521501291832
"37",36,0.392285060031757
"38",37,0.378229442586245
"39",38,0.364375480938712
"40",39,0.350742714840506
"41",40,0.337349299801399
"42",41,0.324211932606986
"43",42,0.311345794596692
"44",43,0.298764512592646
"45",44,0.286480137051006
"46",45,0.274503136720876
"47",46,0.262842408847474
"48",47,0.251505303749622
"49",48,0.240497662438955
"50",49,0.229823865829866
"51",50,0.219486894013904
"52",51,0.209488394037668
"53",52,0.199828754625684
"54",53,0.190507186324928
"55",54,0.181521805610893
"56",55,0.172869721581225
"57",56,0.164547123966996
"58",57,0.156549371308637
"59",58,0.148871078268916
"60",59,0.141506201184867
"61",60,0.134448121090616
"62",61,0.127689723570568
"63",62,0.121223474924698
"64",63,0.1150414942429
"65",64,0.109135621091883
"66",65,0.103497478615003
"67",66,0.098118531932083
"68",67,0.092990141802462
"69",68,0.0881036135803541
"70",69,0.0834502415473152
"71",70,0.0790213487528343
"72",71,0.0748083225313429
"73",72,0.0708026458930698
"74",73,0.0669959250079274
"75",74,0.0633799130168347
"76",75,0.0599465304143722
"77",76,0.0566878822512215
"78",77,0.0535962724052136
"79",78,0.0506642151667036
"80",79,0.0478844443780512
"81",80,0.0452499203587806
"82",81,0.0427538348380699
"83",82,0.0403896141049979
"84",83,0.0381509205748808
"85",84,0.0360316529573828
"86",85,0.0340259451991704
"87",86,0.0321281643609468
"88",87,0.0303329075759218
"89",88,0.0286349982243242
"90",89,0.0270294814465397
"91",90,0.0255116191059705
"92",91,0.0240768843018103
"93",92,0.0227209555216669
"94",93,0.0214397105143532
"95",94,0.020229219954234
"96",95,0.0190857409602427
"97",96,0.018005710525064
"98",97,0.0169857389030005
"99",98,0.0160226029986682
"100",99,0.0151132397928776
"101",100,0.0142547398368178
