"","stable_coef_names","poor_npl1"
"1","consumed181",8
"2","hh_light1",11
"3","hh_roof1",5
"4","hh_size1",26
"5","hh_size2",13
"6","hh_toilet1",5
"7","hhead_maxgrade1",13
"8","hmany041",6
"9","hmany042",12
"10","purchase061",10
"11","region1",0
"12","region2",10
"13","region4",7
"14","region5",5
"15","relativewi",1
