cluster_lat,cluster_lon,radiance_around_1_kms,radiance_around_5_kms,radiance_around_10_kms
3.45570056699,39.5159939261,0.0,0.0,0.0
3.5499372609099997,39.184234025500004,0.0,0.0,0.0
3.8642429801,39.1013658071,0.0,0.0,0.0
3.98293116381,38.4913678893,0.0,0.0,0.0
4.048194121040001,41.9309280688,0.0,0.0,0.0
4.235340884599999,38.3859126851,0.0,0.0,0.0
4.28184427047,41.8750755047,0.0,0.0,0.0
4.76768886663,39.269749201799996,0.0,0.0,0.0
4.8070976028,36.0818398582,0.0,0.0,0.0
4.86583201441,39.1736734474,0.0,0.0,0.0
4.87905466671,39.1953787271,0.0,0.0,0.0
4.98817917691,36.480548618600004,0.0,0.0014240137450579212,0.00072724013810869
5.066173604569999,39.8033863219,0.0,0.0,0.0
5.21350249941,40.0351534251,0.0,0.0038139782990358564,0.001006889079685875
5.222997986269999,41.0432055896,0.0,0.0,0.0
5.25295513188,37.4271768268,0.0,0.0,0.0
5.29947726643,37.4826182904,0.0,0.0,0.0017565114196466322
5.49534488804,37.5518429316,0.0,0.0,0.0
5.51248465997,37.6022764827,0.0,0.0,0.0
5.52570615347,38.7620666963,0.0,0.0,7.002488064816358e-05
5.554166834099999,37.8416513316,0.0,0.0,0.0
5.5956826161199995,38.2936192427,0.0,0.0,0.0005887326270361184
5.60315524467,37.6030634072,0.0,0.0,0.0
5.6392839308500005,37.3823169626,0.006236805408867649,0.01026804929887712,0.002876005125247961
5.64655886803,37.3818910811,0.009274496123152051,0.01026804929887712,0.002876005448821229
5.74709706037,37.8508868358,0.0,0.0,0.0
5.803795770190001,36.581091960900004,0.0,0.015236533554030134,0.009022917127439481
5.825624694889999,38.6725076713,0.0,0.0,0.0
5.83633941337,36.6070302097,0.0,0.0,0.0002566093474430851
5.85184911518,37.8832189758,0.0,0.002324601952748684,0.0006428894625040521
5.87254139533,36.554761669499996,0.0,0.0,0.0004625766556146042
5.9011006130400006,36.578563562199996,0.03608132461005138,0.0017597191845986242,0.00044157667612106083
5.9452540778400005,38.322510836999996,0.028987602144129217,0.003976268654785244,0.0013028909138227988
5.9498908857099995,37.1552324163,0.0,0.0,0.0001972069990062232
5.98301240509,38.1616652609,0.0,0.0056685760197870095,0.0027553539195373385
5.98817082582,37.438786325500004,0.0,0.0,0.0
6.00281125449,37.5432936133,0.4148221287521611,0.17833071691827979,0.11227644125630534
6.013204143159999,37.5572904068,0.2321288361821781,0.24061133674165983,0.10941125466359272
6.0243578499099995,38.3413616597,0.0,0.0,0.0
6.048350978489999,37.556858705500005,0.1885383668465693,0.17494126476975777,0.10872436823599518
6.05915013841,37.545217807,0.018093062689180674,0.07222813098947338,0.08444945978004814
6.1363086863100005,36.6759763471,0.0,0.0,0.00015336736436084023
6.13878361273,38.2843372409,0.0,0.0,0.0
6.2001058893900005,36.5861907555,0.0,0.0,0.0
6.23179734158,35.8385790499,0.0,0.0,0.0
6.23385511377,37.3456169058,0.0,0.0,0.0
6.2600677475,35.2645547968,0.0,0.0,0.0
6.2656349463,36.6109388136,0.0,0.0,0.0014144424334994732
6.27761186614,38.3115215185,0.0,0.0,0.0005370304854067791
6.291096872430001,37.4818442988,0.0,0.009710955480967384,0.0029765967512227817
6.333010355519999,36.603268534899996,0.0,0.0,0.0013503948164892488
6.363915141690001,36.5892168406,0.0,0.0,0.0
6.375893382719999,38.7269447069,0.0,0.0,0.0
6.3989833778600005,38.8768980886,0.0,0.0,0.0
6.40123809791,38.3446012616,0.0,0.008225954126387141,0.037049226444530486
6.43132806354,37.6603410409,0.0,0.0,0.002503239272141661
6.44962796151,38.3196828622,0.0,0.004014131882844361,0.03815634242830451
6.4505035383200005,39.8802730059,0.0,0.0,0.008431219496585266
6.50156734188,37.4709978737,0.0,0.0,0.0011706480003653564
6.593289928130001,38.4223921387,0.07049160902943727,0.038156518368185365,0.011316041459248591
6.616996490519999,37.4846255397,0.0,0.0,0.0
6.63095001102,36.7852027008,0.0,0.0,0.0
6.655806762669999,38.3245737951,0.0,0.0,0.0006668938587336894
6.706858474369999,37.409545286,0.0,0.0,0.0
6.78301858962,37.5509812536,0.0,0.0,0.0
6.803102109380001,38.5126355838,0.0,0.0,0.0005893809166310713
6.804929582560001,35.8646146207,0.0,0.0,0.0
6.8515434504199995,37.7801781416,0.10637467883755528,0.14492141831052122,0.06881221715406206
6.88872100597,37.9522518332,0.0,0.011656192023018526,0.0033565793784757574
6.9021011663800005,37.7348762189,0.014505321260198309,0.0033685799526440357,0.03247509051129019
6.909907560630001,37.774162366999995,0.0,0.0,0.009979847209391388
6.91156800008,38.4817078008,0.0,0.004811329348176015,0.011740434061393775
6.91411343602,35.630321549899996,0.0,0.0,0.0
6.924950093039999,38.3559681101,0.0,0.009796943814687242,0.0023823865359450837
6.93084850884,38.595896045,0.0,0.0,0.0018835934446371225
6.943021502610001,37.2950167052,0.0,0.0,0.00016112058307987784
6.94902910992,35.772021814,0.007580713382189077,0.007034893642145874,0.0018697337529122095
6.94992604668,37.886494052399996,0.0,0.014090604513431755,0.01034785887449416
6.983597961569999,40.3522763184,0.0,0.0,0.0012984507985034234
6.985415858600001,35.5733201529,0.0798290589142474,0.06582420292332347,0.02951883051445858
6.98589410147,36.4255203181,0.0,0.0,0.0
7.003490139710001,39.162446386599996,0.0,0.006222118512315929,0.012521802269637023
7.0204703088,40.3194889265,0.0,0.0,0.00012400585452908866
7.02150110471,38.4874759267,0.3568833241933693,0.36639074409754036,0.24269673687783203
