"","stable_coef_names","poor_npl1"
"1","consumed181",10
"2","hh_cook1",10
"3","hh_light1",9
"4","hh_roof1",7
"5","hh_size1",20
"6","hh_size2",12
"7","hh_toilet1",6
"8","hhead_maxgrade1",12
"9","hmany311",8
"10","purchased071",8
"11","region1",0
"12","region2",10
"13","region4",7
"14","region5",2
