"ea_id","ea_id2","household_id2","water_id","ess3_saq01","saq01","saq02","saq03","saq06","saq07","pw_w3","wq_c04","wq_a01","wq_a02","wq_a02_other","wq_a03","wq_a04","wq_a04_other","wq_a04b","wq_a05","wq_a05_oth","wq_a06","wq_a06b","wq_a07","wq_a08a","wq_a08b","wq_a08b_other","wq_a09","wq_a10a","wq_a10b","wq_a11","wq_a12","wq_a13_hour","wq_a13_minute","wq_a13_dayNight","wq_a14","wq_a15","wq_a16","wq_a18","wq_a20","wq_a21","wq_a22","wq_a23","wq_a24_hour","wq_a24_minute","wq_a24_dayNight","wq_a25","wq_a26","wq_a26_oth","wq_a27","wq_b01","wq_b02","wq_b03","wq_b04","wq_b05","wq_b06","wq_b07","wq_b08","wq_b09","wq_b10","wq_b11","wq_b12","wq_b13","wq_b14","wq_b15","wq_b16","wq_b17","wq_b18","wq_b19","wq_b20","wq_b21","wq_b22","wq_a1_hour","wq_addlblank","wq_b05_adj","wq_b06_adj","wq_b10_adj","wq_b15_adj","wq_b16_adj","barcode","hhpart","srcpart","h20fetch_HHtottime","h20fetch_trips","labElectricalConductivityµScm","labTotalIronmglFe2Fe","labTotalHardnessmglCaCO3","labFluoridemglF","labNo"
"01010201403","010102088801403","010102088801403016",1014,1,1,1,2,14,3,2492.767578125,1,1,,,2,,,2,7,,4,1,2,2,,,1,1,,1,1,1,15,2,,1,"wq_a16.jpg",1,1,,1.68,1,1,15,2,,,,,1,"wq_b02.jpg",47,26,101,101,,,,,1,"wq_b12.jpg",10,1,101,43,,,,,,,,,101,101,,101,43,"00000099",1,1,15,1,579,0.204019993543625,351.75,0.668559789657593,1323
"01010201403","010102088801403","010102088801403026",1015,1,1,1,2,14,3,2492.767578125,1,1,,,2,,,1,7,,4,1,2,2,,,1,1,,2,1,1,15,2,,2,,,,,,,,,,1014,,,,1,"wq_b02.jpg",16,0,101,20,,,,,1,"wq_b12.jpg",10,1,101,43,,,,,,,,,101,20,,101,43,,1,,30,1,,,,,
"01010201403","010102088801403","010102088801403031",1016,1,1,1,2,14,3,2492.767578125,1,1,,,2,,,1,5,,4,1,2,2,,,1,1,,2,1,1,15,2,,1,"wq_a16.jpg",1,1,,4.39,1,1,15,2,,,,2,1,"wq_b02.jpg",101,16,101,101,,,,,1,"wq_b12.jpg",101,24,101,101,1,"wq_b18.jpg",0,0,0,0,,,101,101,,101,101,"00000434",1,1,62,3,359,0.204019993543625,225.12,0.297071814537048,1324
"01010201403","010102088801403","010102088801403036",1017,1,1,1,2,14,3,2492.767578125,1,1,,,2,,,1,5,,4,1,2,2,,,1,1,,2,1,1,15,2,,2,,,,,,,,,,1019,,,,1,"wq_b02.jpg",9,0,101,10,,,,,1,"wq_b12.jpg",11,1,101,34,,,,,,,,,101,10,,101,34,,1,,75,3,,,,,
"01010201403","010102088801403","010102088801403046",1018,1,1,1,2,14,3,2492.767578125,1,1,,,2,,,1,5,,4,1,2,2,,,1,1,,2,1,1,15,2,,1,"wq_a16.jpg",1,1,,9.84,1,1,15,2,,,,,1,"wq_b02.jpg",101,25,101,101,,,,,1,"wq_b12.jpg",101,25,101,101,,,,,,,,,101,101,,101,101,"00000078",1,1,30,2,160,0.335280001163483,100.5,1.03384482860565,1325
"01010201403","010102088801403","010102088801403061",1019,1,1,1,2,14,3,2492.767578125,1,1,,,2,,,2,5,,4,1,2,2,,,1,1,,2,1,1,15,2,,1,"wq_a16.jpg",1,1,,30,1,1,15,2,,,,1,1,"wq_b02.jpg",23,0,101,101,,,,,1,"wq_b12.jpg",11,1,101,34,1,"wq_b18.jpg",0,0,0,0,12,1,101,101,,101,34,"00000393",1,1,90,4,112,0.335280001163483,96.48,0.635390818119049,1326
"01010201403","010102088801403","010102088801403091",1020,1,1,1,2,14,3,2492.767578125,1,1,,,2,,,1,5,,4,1,2,2,,,1,1,,2,1,1,15,2,,2,,,,,,,,,,1019,,,,1,"wq_b02.jpg",12,0,101,45,,,,,1,"wq_b12.jpg",11,1,101,34,,,,,,,,,101,45,,101,34,,1,,30,2,,,,,
"01010201403","010102088801403","010102088801403106",1021,1,1,1,2,14,3,2492.767578125,1,1,,,2,,,2,5,,4,1,2,2,,,1,1,,2,1,1,15,2,,2,,,,,,,,,,1019,,,,1,"wq_b02.jpg",18,1,101,101,,,,,1,"wq_b12.jpg",11,1,101,34,,,,,,,,,101,101,,101,34,,1,,10,1,,,,,
"01010201403","010102088801403","010102088801403121",1022,1,1,1,2,14,3,2492.767578125,1,1,,,2,,,2,8,,4,1,2,2,,,1,1,,2,1,12,35,2,,1,"wq_a16.jpg",1,1,,9.19,1,12,35,2,,,,,1,"wq_b02.jpg",101,80,101,101,,,,,1,"wq_b12.jpg",101,101,101,101,,,,,,,,,101,101,,101,101,"00000120",1,1,30,2,501,0.204019993543625,271.35,0.966191589832306,1327
"01010201403","010102088801403","010102088801403136",1023,1,1,1,2,14,3,2492.767578125,1,1,,,2,,,1,8,,4,1,2,2,,,1,1,1,2,1,12,35,2,,1,"wq_a16.jpg",1,1,,4.14,1,12,35,2,,,,,1,"wq_b02.jpg",95,6,101,101,1,"wq_b08.jpg",47,101,1,"wq_b12.jpg",35,4,101,101,,,,,,,,,101,101,101,101,101,"00000162",1,1,0,0,201,0.335280001163483,112.56,0.252961009740829,1328
