"","Score","poor_npl1"
"1",0,0.731540202155686
"2",1,0.721278207405112
"3",2,0.710779030536466
"4",3,0.700048830201192
"5",4,0.689094667979871
"6",5,0.677924512292675
"7",6,0.666547235517444
"8",7,0.654972603953308
"9",8,0.643211260349001
"10",9,0.631274698807288
"11",10,0.619175231978875
"12",11,0.606925950569047
"13",12,0.594540675296001
"14",13,0.582033901558956
"15",14,0.569420737193972
"16",15,0.556716833813056
"17",16,0.543938312334805
"18",17,0.53110168341931
"19",18,0.518223763613854
"20",19,0.505321588096125
"21",20,0.492412320966256
"22",21,0.479513164085969
"23",22,0.466641265491114
"24",23,0.453813628412152
"25",24,0.441047021925367
"26",25,0.428357894226188
"27",26,0.4157622894658
"28",27,0.403275769024786
"29",28,0.390913338014751
"30",29,0.378689377703037
"31",30,0.366617584449465
"32",31,0.354710915630352
"33",32,0.342981542906739
"34",33,0.331440813073884
"35",34,0.320099216610335
"36",35,0.308966363930076
"37",36,0.298050969232573
"38",37,0.287360841745199
"39",38,0.276902884062098
"40",39,0.266683097204366
"41",40,0.256706591959344
"42",41,0.246977606002344
"43",42,0.237499526262331
"44",43,0.228274915963808
"45",44,0.21930554575979
"46",45,0.210592428364605
"47",46,0.202135856099299
"48",47,0.193935440775601
"49",48,0.185990155365405
"50",49,0.178298376930439
"51",50,0.170857930319753
"52",51,0.163666132179861
"53",52,0.156719834862382
"54",53,0.150015469856013
"55",54,0.14354909041238
"56",55,0.137316413078097
"57",56,0.131312857887299
"58",57,0.125533587009447
"59",58,0.119973541685776
"60",59,0.114627477324015
"61",60,0.109489996654562
"62",61,0.104555580882069
"63",62,0.0998186187941551
"64",63,0.0952734338137526
"65",64,0.0909143090034089
"66",65,0.0867355100487671
"67",66,0.0827313062646005
"68",67,0.0788959896802841
"69",68,0.0752238922726602
"70",69,0.0717094014230717
"71",70,0.0683469736821001
"72",71,0.0651311469304622
"73",72,0.0620565510277939
"74",73,0.0591179170428756
"75",74,0.0563100851594237
"76",75,0.053628011351072
"77",76,0.0510667729177485
"78",77,0.0486215729734877
"79",78,0.0462877439729368
"80",79,0.0440607503605429
"81",80,0.0419361904227696
"82",81,0.0399097974197719
"83",82,0.0379774400688609
"84",83,0.0361351224478744
"85",84,0.0343789833823168
"86",85,0.0327052953758807
"87",86,0.0311104631397754
"88",87,0.0295910217721826
"89",88,0.0281436346351874
"90",89,0.0267650909726981
"91",90,0.0254523033092011
"92",91,0.0242023046657064
"93",92,0.0230122456259313
"94",93,0.0218793912826523
"95",94,0.02080111809123
"96",95,0.0197749106545755
"97",96,0.0187983584612816
"98",97,0.0178691525962742
"99",98,0.0169850824411573
"100",99,0.0161440323794081
"101",100,0.0153439785197245
