dist_road,dist_popcenter,dist_market,dist_borderpost,dist_admctr,pop_density,af_bio_1,af_bio_8,af_bio_12,af_bio_13,af_bio_16,fsrad3_agpct,fsrad3_lcmaj,ssa_aez09,srtm,twi,srtm_5_15,sq1,sq2,sq3,sq4,sq5,sq6,sq7,anntot_avg,wetQ_avg,wetQ_avgstart,h2015_tot,h2015_wetQ,h2015_wetQstart,eviarea_avg,evimax_avg,grn_avg,sen_avg,h2015_eviarea,h2015_evimax,h2015_grn,h2015_sen,lat_dd_mod,lon_dd_mod,household_id_1,household_id_2,household_id_3,household_id_4,household_id_5,household_id_6,household_id_7,household_id_8,household_id_9,household_id_10,household_id_11,household_id_12,household_id_13,household_id_14,household_id_15,household_id_16,household_id_17,ea_id_1,ea_id_2,ea_id_3,ea_id_4,ea_id_5,ea_id_6,ea_id_7,ea_id_8,ea_id_9,ea_id_10,ea_id_11,ea_id_12,ea_id_13,ea_id_14,
18,18,91,170,160,50-100,213,205,867,283,661,54,30,322,1847,13,8,1,1,2,1,1,1,2,964,775,18,1474,1112,18,46,0.432,177,257,40,0.386,173,256,14.28858967,38.21025192,1,0,1,0,2,0,8,8,8,0,1,4,0,3,0,0,0,1,0,1,0,2,0,8,8,8,0,1,4,0,3,
17,17,90,170,160,50-100,213,205,868,283,662,71,14,322,1836,12,13,1,1,2,1,1,1,2,968,779,18,1477,1115,18,46,0.432,177,257,40,0.386,173,256,14.28858967,38.21025192,1,0,1,0,2,0,8,8,8,0,1,4,0,3,0,0,0,1,0,1,0,2,0,8,8,8,0,1,4,0,3,
17,18,90,169,160,50-100,213,205,868,283,662,71,14,322,1829,11,13,1,1,2,1,1,1,2,969,779,18,1477,1115,18,46,0.432,177,257,40,0.386,173,256,14.28858967,38.21025192,1,0,1,0,2,0,8,8,8,0,1,4,0,3,0,0,0,1,0,1,0,2,0,8,8,8,0,1,4,0,3,
17,17,90,170,160,50-100,214,205,870,283,663,66,14,322,1817,11,13,1,1,2,1,1,1,2,970,780,18,1477,1116,18,46,0.432,177,257,40,0.386,173,256,14.28858967,38.21025192,1,0,1,0,2,0,8,8,8,0,1,4,0,3,1,0,0,1,0,1,0,2,0,8,8,8,0,1,4,0,3,
17,18,89,168,161,50-100,229,222,841,269,637,78,14,322,1649,14,8,1,1,2,1,1,1,2,977,785,18,1480,1112,18,46,0.432,177,257,40,0.386,173,256,14.28858967,38.21025192,1,0,1,0,2,0,8,8,8,0,1,4,0,3,1,0,0,1,0,1,0,2,0,8,8,8,0,1,4,0,3,
17,17,89,168,161,50-100,229,222,841,269,637,65,20,322,1706,11,13,1,1,2,1,1,1,2,977,785,18,1481,1114,18,46,0.432,177,257,40,0.386,173,256,14.28858967,38.21025192,1,0,1,0,2,0,8,8,8,0,1,4,0,3,1,0,0,1,0,1,0,2,0,8,8,8,0,1,4,0,3,
0,20,87,198,129,2000-5000,195,188,788,263,600,23,110,322,1975,15,8,1,1,4,1,1,1,4,928,760,17,1376,1114,17,46,0.432,177,257,40,0.386,173,256,14.10976082,38.47383505,1,0,1,0,3,0,1,0,1,0,0,1,0,6,0,0,0,1,0,1,0,3,0,1,0,1,0,0,1,0,6,
0,21,87,199,128,2000-5000,196,189,790,263,602,14,110,322,1983,14,13,1,1,4,1,1,1,4,926,759,17,1371,1110,19,46,0.432,177,257,40,0.386,173,256,14.10976082,38.47383505,1,0,1,0,3,0,1,0,1,0,0,1,0,6,0,0,0,1,0,1,0,3,0,1,0,1,0,0,1,0,6,
0,21,87,199,128,2000-5000,195,188,784,262,597,9,110,322,2001,13,8,1,1,4,1,1,1,4,925,758,17,1368,1108,19,46,0.432,177,257,40,0.386,173,256,14.10976082,38.47383505,1,0,1,0,3,0,1,0,1,0,0,1,0,6,0,0,0,1,0,1,0,3,0,1,0,1,0,0,1,0,6,
0,21,87,199,128,2000-5000,195,188,784,262,597,9,110,322,1992,13,8,1,1,4,1,1,1,4,925,758,17,1368,1108,19,46,0.432,177,257,40,0.386,173,256,14.10976082,38.47383505,1,0,1,0,3,0,1,0,1,0,0,1,0,6,0,0,0,1,0,1,0,3,0,1,0,1,0,0,1,0,6,
